Library_Name,URL,Address,Business_Hour,Phone_Number
不止亲子双语阅读馆,https://www.dianping.com/shop/G1zaKjPCx7wQdif1,恒祥北大街1899号（恒祥北大街与瑞安路交叉口东行路南）,周二至周日 09:00-19:00,13331267393
老约翰绘本馆(国宅馆),https://www.dianping.com/shop/kaFv8Xgppv996ggK,阳光北大街国宅华园小区七号楼对面,周二至周日 10:00-12:00 14:00-20:00,18830781312
萌伢绘本馆,https://www.dianping.com/shop/H8jade9xeeHaz3Ro,瑞兴路62号,"周二至周五 10:00-20:00  周六,周日 10:30-18:00",18602172406
小时光童书房,https://www.dianping.com/shop/k4ZNNXSzWxDm7SEi,直隶新城,周一至周日 09:00-12:00 14:00-16:30 18:00-20:30,15932279166
高碑店老约翰儿童绘本馆(五一南大街店),https://www.dianping.com/shop/H5MdDDv6sAU9HmUa,五一南路诺林湾小区对面,周一至周日 09:00-20:00,15231255076
皮克布克绘本王国(保定新市区站),https://www.dianping.com/shop/l1JEngGuQlC2ng48,康泽园南区东北门西160米,,15732211026
童心童绘(顺平校区),https://www.dianping.com/shop/k6J2IrmffCbh6b8v,永禄大街与仙洲路交叉口西100米,,
彩虹绘本馆,https://www.dianping.com/shop/k4dOHt0ZQBya8vJm,玫瑰园小区底商,,
易读宝(朝阳南大街店),https://www.dianping.com/shop/k75Or6tlmxqHhOlv,朝阳南大街57号图书大厦2层,,
优丫漫绘本课,https://www.dianping.com/shop/j4gB4m9elWaEKbsE,药兴大路与药都北大街交叉口东南140米,,
童年绘本馆,https://www.dianping.com/shop/FOzQLGIkMeYExYsP,莲池南大街1748号,,
爱·悦读中英文绘本馆,https://www.dianping.com/shop/G1cV190owCPCTS7X,尧帝路逸夫小学东侧约30米,,15930248295
知阅儿童绘本馆(雄县馆),https://www.dianping.com/shop/H8j44Ez21fldqlwJ,阳光街85号,周二至周日 09:00-12:00 13:30-18:30,15832252520
爱·悦读中英文绘本馆,https://www.dianping.com/shop/Ejo3yxX5Xei4o0ug,仙洲路与平安东大街交叉口北260米,,
爱.悦读中英文绘本馆(温留路店),https://www.dianping.com/shop/k6PpKJ2bx5Ohx0YM,温留路东50米,,18132567013
