Library_Name,URL,Address,Business_Hour,Phone_Number
联动艺术,https://www.dianping.com/shop/FMnnA31T15q3BQlw,芳城园一区日月天地大厦B座1层103底商,周一至周日 09:00-21:00,4000303096-17676
阳光语润托育 · 早教,https://www.dianping.com/shop/jkUdrhLhLj0gIWvi,"阜通西大街望京新城418楼1层（小区南门进门右侧,阳光语润托育中心内）",周二至周日 09:00-18:00,4000303096-53923
三一国际英语(万通新世界校区),https://www.dianping.com/shop/k9FZSc0QCdMrpCCJ,西直门南小街国英园7号楼7-1号底商（距中国儿童中心西门100米）,"周一至周五 10:00-20:00  周六,周日 09:00-20:00",17710360860
理查德DE书屋·英文绘本阅读馆(肖家河店),https://www.dianping.com/shop/k5jvmj1yuM6WcDst,清河中街华润·万橡府五期底商学府树家园三区8-7（清河万象汇正对面）,周一至周日 10:00-21:00,4000303096-42346
迈德国际成长中心,https://www.dianping.com/shop/H54ki5OBRzTdVGpc,东四环北路88号院甲6号楼观湖国际大厦2层201号,周一至周日 08:00-20:00,
天使英才.照像记忆高效速读.绘本馆(黄庄校区),https://www.dianping.com/shop/l9WQHIIWCT6l9A1R,金源时代商务中心A座2层,周一至周日 全天,4001016029-2430
巧虎KIDS早教托育中心(乐成中心),https://www.dianping.com/shop/k7UTHw37WxlssxUu,东三环中路乐成中心space3三层北侧3-12,周二至周日 09:00-20:00  2023-01-16至2023-01-27 休息,4000303096-94607
达芬齐·全脑快速阅读快速记忆(万柳校区),https://www.dianping.com/shop/H4TESDVHVgiuLcED,万柳中路11号派顿大厦408,周一至周日 全天  2023-01-13至2023-01-31 09:00-22:00,4000303096-52172
乐想阅读·英文阅读馆,https://www.dianping.com/shop/G5FyHSUAMEG6jrxU,富力广场购物中心4层,周一至周日 10:00-21:00,4000303096-17913
童创学园·益智思维·积木编程,https://www.dianping.com/shop/G6GTtCQMaOnNmFLH,中关村东路18号财智国际大厦B座2107室,"周一至周五 14:00-20:00  周六,周日 09:00-20:00  2023-01-06至2023-01-13 09:00-20:00 2023-01-14至2023-01-29 休息 2023-01-30至2023-02-10 09:00-20:00",18510550397
阅拾光图书馆·自习室,https://www.dianping.com/shop/l2cdtyB7LeNvhtj6,北辰福第V中心C座三层,周一至周日 09:00-22:00,
伊莱图书馆(望京中心店),https://www.dianping.com/shop/H6zgZDdgycA4wrCf,花园东路15号1层2101-2103、2105、2106,"周一至周五 11:00-20:00  周六,周日 09:00-18:00  2023-01-21至2023-01-27 休息",4000303096-08262
小宝图书馆,https://www.dianping.com/shop/k2ottytCzqnBQCrE,小关街道安苑北里26号诸园文化教育产业园三层302号,周一至周日 09:30-19:30,4000303096-76464
奇艺之光美术教育,https://www.dianping.com/shop/l9c7rKD7AyoR9BKz,文化园东路6幢创意生活广场四层东侧,"周六,周日 08:30-20:00  周三至周五 13:30-20:00",4000303096-90544
元宫格朝阳区书法中心,https://www.dianping.com/shop/G4Rf2rWChHiigYR3,百环青创大厦2层212,"周六,周日 09:00-19:00  周二至周五 13:00-20:30",4001016029-7313
