Library_Name,URL,Address,Business_Hour,Phone_Number
吉的堡成长中心(虹馆校),https://www.dianping.com/shop/HaeWsJ0w5WL7QCk1,西安大路178号中新花园北出口西侧,周三至周日 09:00-19:00,4000303096-21835
司蒂姆儿童手创俱乐部(高新店),https://www.dianping.com/shop/H8oVFAf1R2msAmh1,高新开发区硅谷大街3555号超达创业园9栋,周二至周日 09:30-17:30,4000303096-83035
七田家哆啦育童儿童成长中心,https://www.dianping.com/shop/H3w0cfzTV1QS8yNl,富民街道车城万达广场2楼2090商铺,周一至周日 09:30-18:00  2023-01-19至2023-01-31 休息,4000303096-14600
吉的堡成长中心(长春中新校区),https://www.dianping.com/shop/k9fNrbjIbrWPWGCq,长春市卫星路亚泰大街交汇好景山庄33栋底商,"周一至周五 10:30-19:30  周六,周日 08:00-17:00",4000303096-22779
爱育幼童儿童脑潜能开发(新天地购物公园亚泰大街店),https://www.dianping.com/shop/l267ntjVOMsX60oo,亚泰大街1138号新天地购物公园F3层,周二至周日 09:30-19:00  2023-01-17至2023-02-05 休息,4000303096-04701
七田全脑潜能开发训练中心(桂林路校区),https://www.dianping.com/shop/l2iZPtapMFdaKJR6,枫丹白露一期6栋3单元106,"周三至周五 09:00-18:30  周二 13:00-18:30  周六,周日 08:00-17:00",0431-85655200
七田全脑潜能开发训练中心(上海路分校),https://www.dianping.com/shop/FNPcwF48oczZ4vrF,枫丹白露一期6栋3单元106,周二 13:00-18:30  周三至周日 08:00-17:00,18943634521
BOOKplay书戏教育(南湖分店),https://www.dianping.com/shop/l1Fp5bA6ApIQpcfh,同志街与应化路交叉口悦岛酒店右侧,周一至周日 10:00-22:00,17767753923
画里美术绘本馆,https://www.dianping.com/shop/H76mxQ5u10dcrSTy,昂展公园里公交站,周一至周日 10:00-22:00,18946642852
安妮花阅读馆,https://www.dianping.com/shop/GaN0H8K4Zfo9ya8X,繁荣路南湖学府a栋,周一至周日 10:00-22:00,18626935176
红房子儿童绘本馆,https://www.dianping.com/shop/l8fhYfPKOo5Jtp3U,卫星路5165号亲亲袋鼠早教中心内,,18626622997
朗德教育绘本小屋,https://www.dianping.com/shop/l3iNiPAHn1ZPhKXu,北亚泰大街4352号万盛国邦4栋107门市,,13578777223
创意美术绘本馆(二道校区),https://www.dianping.com/shop/G3PwScYUIHQvIfmN,晨宇小区二栋一门102室门市,,13596125091
创意美术绘本馆,https://www.dianping.com/shop/k7clUDy5qfFJsT8k,西环城路万盛理想国卡梅尔城,,
优阅亲子绘本馆(长春店),https://www.dianping.com/shop/l9gKVI5MeqIkhVkS,荷园路怡众名城G13楼110室,周二至周日 09:00-19:00,13180844028
