Library_Name,URL,Address,Business_Hour,Phone_Number
白鹿鸣中英文阅读馆(梅溪湖店),https://www.dianping.com/shop/l17xh9T395CsIZmX,梅溪湖路佳兆业梅溪荟2楼2007,"周三至周五 14:00-21:00  周六,周日 08:30-18:00",
新东方素质成长中心(晚报大厦校区),https://www.dianping.com/shop/k5IDSERTKHVnbhfm,晚报大道259号培训综合楼2楼,周二至周日 09:00-18:00,4000303096-17582
新东方素质成长中心(大润发校区),https://www.dianping.com/shop/H4p9vI7PZAAJIQAf,万家丽中路大润发超市旁三楼,周二至周日 09:00-18:00,4000303096-28982
新东方素质成长中心(湘江世纪城校区),https://www.dianping.com/shop/G7dBLTHFOCMqbIWD,福城路98号顺天黄金海岸酒店3层,周二至周日 08:00-21:00,4000303096-95902
新东方素质成长中心(浏城桥校区),https://www.dianping.com/shop/k1mAgs3y5gMMfm9h,劳动西路499号,周二至周日 09:00-18:00,4000303096-48304
新东方素质成长中心(雨花家园校区),https://www.dianping.com/shop/G9T3FTuwfh6ZJ9vv,"万家丽路仁和雨花家园新东方二楼、三楼（喜盈门范城东门对面,农业银行旁边）",周二至周日 09:00-18:00,4000303096-24115
新东方素质成长中心(东塘校区),https://www.dianping.com/shop/G2TnmD7g9wFCjbU5,劳动中路528号童未来东塘教育城2楼,周二至周日 09:00-18:00,4000303096-48157
新东方素质成长中心(洋湖新城校区),https://www.dianping.com/shop/l9CqXAMz4Fbq0WDX,潇湘大道柏宁地王广场长庚童方城3楼斯林姆,周二至周日 09:00-18:00,4000303096-20719
新东方素质成长中心(星沙校区),https://www.dianping.com/shop/H2UJxVV4xYo6qpdU,劳动西路499号,周一至周日 09:00-12:00 13:00-17:30,4001016029-8620
新东方素质成长中心(美林银谷校区),https://www.dianping.com/shop/k4GKnD5sh3QMx2MK,金星中路528号银谷苑6、7栋新东方学校,周一至周日 09:00-20:00,4000303096-94146
新东方素质成长中心(沁园春校区),https://www.dianping.com/shop/ka7MP7ZDjqUUOu6I,银盆南路金荣科技园M1组团B座3楼良品铺子旁,周二至周日 09:00-18:00,4000303096-33714
新东方素质成长中心(梅溪湖校区),https://www.dianping.com/shop/G7ZpeJClw95fvkLq,弘德好莱城西街人气3777,周二至周日 09:00-18:00,4000303096-76130
新东方素质成长中心(井湾子校区),https://www.dianping.com/shop/ixfTMWdB0Q1nzR0L,韶山南路井湾子臻善知行教育城C座2楼,周二至周日 09:00-18:00,4000303096-08035
新东方素质成长中心(八方小区校区),https://www.dianping.com/shop/H1n9UG00xLeT34eR,八方小区C区S11栋,周二至周日 09:00-18:00,4000303096-48436
丸丸本本(24品中心),https://www.dianping.com/shop/G7AQYuxBvtWWAhvL,望岳街道观沙路268号24品生活中心F3-032至037,周一至周日 10:00-22:00,4000303096-47190
