Library_Name,URL,Address,Business_Hour,Phone_Number
爱弥尔绘本阅读成长中心(渝北人和店),https://www.dianping.com/shop/G4mdMm1Z3JzKga0F,金开大道90号棕榈Mall二层15-17（近爱琴海购物公园）,周一至周日 10:00-20:00  2023-01-15至2023-01-31 休息,4000303096-69647
斑马线下中心(龙湖时代天街店),https://www.dianping.com/shop/l8q6eOulWvLXqyqa,时代天街3号C馆L3-09,周一至周日 10:00-22:00,4000303096-69384
bookcare流动的绘本馆,https://www.dianping.com/shop/H8rSa9QQ9zd6lbs1,东升门路江北嘴IFS国金中心1楼,周一至周日 10:00-22:00,
娃咋养·托育早教中心(恒大中渝店),https://www.dianping.com/shop/l2e6pAqx1a3Y1yGV,大坪正街二巷英利大融城3楼L302-B,周一至周日 09:00-18:00  2023-01-21至2023-01-27 休息,4000303096-21329
博爱儿童康复训练中心·语言发育迟缓·注意力训练·自...,https://www.dianping.com/shop/l1GrUrFy8RN2wYSA,大坪街道大坪支路18号附2号,周一至周日 全天,4000303096-18458
重庆诺林巴蜀国际学校幼儿园,https://www.dianping.com/shop/H9Tfnyf27kfRZakA,新南路6号,周一至周五 09:00-18:00,4000303096-33764
ACE思维阅读语言艺术素质中心,https://www.dianping.com/shop/G6LfudlxwoFhrzwt,龙湖时代天街时代星空1号2栋1013室,周一至周日 09:00-20:00,4001016029-5818
云上谣儿童魔法书房(晶郦馆店),https://www.dianping.com/shop/l5EN98rZnNJFJXzI,新南路龙湖晶郦馆3楼,"春季、秋季、冬季 周六,周日 10:00-18:00  周二至周五 14:00-20:00",023-63085896
娃咋养·托育早教中心(大坪英利店),https://www.dianping.com/shop/H51egTEqr9Tlz6Zb,新溉大道8号恒大中渝广场三楼L301-L303,周一至周日 09:00-18:00  2023-01-21至2023-01-27 休息,4000303096-28964
顾连芒果·语言迟缓·注意力·自闭症儿童康复中心(渝...,https://www.dianping.com/shop/G3B8zefYQ6iqJxY0,石油路街道大坪正街118号嘉华鑫城商务楼A栋3楼(兴业银行楼上),周一至周五 08:30-18:00  2023-01-21至2023-01-27 休息,4001016029-0806
安妮花阅读馆(天福克拉店),https://www.dianping.com/shop/l2HHgUxsFXWhj5Cx,大渡口步行街青松路1099号新天泽国际广场2楼017号,周三至周日 10:00-18:30,4000303096-97202
娃咋养·托育早教中心(巾帼园店),https://www.dianping.com/shop/k8QACxuTMawcQXvE,盘溪路408号,周一至周日 08:30-18:00  2023-01-21至2023-01-27 休息,4000303096-18358
小米熊儿童语言迟缓康复训练自闭症注意力多动干预心理...,https://www.dianping.com/shop/l5PVa9LPFaNKRsF3,福红路1号,周一至周日 08:00-23:00,4000303096-36467
春山拾阅儿童图书馆,https://www.dianping.com/shop/H89NKkDlnv5wLnIe,礼嘉街道礼慈路14号礼嘉天街A馆-3F-24A馆-3F-25,周一至周日 10:00-21:30,4000303096-19911
安妮花绘本阅读馆(沙坪坝店),https://www.dianping.com/shop/k3OvhseEYlrTZDXi,石马河街道福泉路22号附3-26号(龙湖原著外街3楼)（体育公园轻轨站）,周二至周日 10:00-21:00  2023-01-12至2023-01-30 休息,4000303096-94589
