Library_Name,URL,Address,Business_Hour,Phone_Number
老约翰绘本馆,https://www.dianping.com/shop/l3eQq5kemOTPIcVA,汇德街138-17,周二至周日 09:30-19:30,4000303096-52137
畅优国际成长中心(青泥洼桥校区),https://www.dianping.com/shop/l2uIp8nkrQi0KdXX,中山路124号渤海饭店三楼（青泥洼桥地铁站E1口）,周二至周日 08:30-20:30,0411-83010690
宜乐成长空间(第五郡校区),https://www.dianping.com/shop/katXQ7PC3dBQZlJf,辛寨子街道虹韵路162/164号,周三至周日 08:00-18:00,0411-88009786
盛锦思成长空间,https://www.dianping.com/shop/iNpigiNIZJuu59Lo,圣林街67号(虹锦路地铁站A口旁),"周六,周日 08:00-19:00  周三至周五 10:00-19:00",4000303096-46768
老约翰绘本馆(沙河口区店),https://www.dianping.com/shop/l7LsynQ5DkjBIoRX,西安路267-12号华业玫瑰东方二期公建东南角（202解放广场有轨电车站南行120米路西）,周二至周日 09:30-19:30,0411-83610777
乐斯国际艺术中心(开发区红星海店),https://www.dianping.com/shop/G7QGfSuaYOqep0z6,金马路红星海A区159-B1号时光海玲珑街,周二至周日 10:00-19:00,4000303096-19669
艺的N次方(恒隆广场店),https://www.dianping.com/shop/G2mxoFIH1h9iRHWs,五四路66号恒隆广场3层318（中区）,周一至周日 10:00-22:00,0411-62667731
乐学阅读成长中心,https://www.dianping.com/shop/lap8Pegod1hx5ClQ,高尔基路663号和平广场千盛百货二层F2S005,"周一,周二 09:30-17:00  周三至周日 09:30-19:00",4000303096-95956
乐习教育全脑训练中心,https://www.dianping.com/shop/G510GmH4XovKEeIH,高尔基路791号和平现代城B座2层6号,"周三至周五 09:00-18:00  周六,周日 08:30-19:00",4000303096-91385
UEC国家地理学习中心(恒隆广场店),https://www.dianping.com/shop/H5Sm7z8P70aDkT1R,五四路66号恒隆广场304（西区）,周一至周日 08:00-22:00,4000303096-18674
绘本TAXI中英文儿童阅读馆,https://www.dianping.com/shop/l36elE4AX8JaqF7s,汇智街汇善南园13-1号（海王星辰斜后身）,周二至周日 10:00-18:00,15724586053
童创童书馆,https://www.dianping.com/shop/k4LtgLfW2IakaMQK,西安路99号大连福佳爱琴海购物公园3楼西侧,周一至周日 09:00-21:00,15524847509
老约翰绘本馆(西岗区店),https://www.dianping.com/shop/G4OjfKxmkgN9CxbS,汇利嘉园B-2-502,"周一,周三至周日 09:00-17:30",17111899699
乐其教育中心(恒隆广场店),https://www.dianping.com/shop/G6zkzQEJQxeBMy8Z,对山街与高尔基路交叉口南侧（阳光大药房与中医医院门诊部中间）,周一至周日 09:00-20:00,4000303096-59153
安徒生双语绘本馆·流动绘本巴士,https://www.dianping.com/shop/jC6lscmF9kljXZJs,胜利东路26C区1、2层,周一至周日 09:00-18:30,4000303096-64864
