Library_Name,URL,Address,Business_Hour,Phone_Number
博沃思·专注力·心理咨询·家庭教育(东城中心),https://www.dianping.com/shop/l9aKfsT5ai99979f,东泰社区鸿福东路1号民盈国贸城5号楼,周一至周日 10:00-20:00,15907552646
巧虎KIDS成长中心(南城旺南奥特莱斯校区),https://www.dianping.com/shop/kafJm0OSb07Rb0QP,莞太路旺南奥特莱斯3楼303室,"周一,周三至周日 09:00-18:00",4000303096-04603
棒吉拉国际早教(南城联景校区),https://www.dianping.com/shop/k2cncDNeqiZbMhzy,世博广场D区2楼,周一至周日 08:00-20:00,4000303096-26351
博沃思注意力心理咨询(南城民盈国贸校区),https://www.dianping.com/shop/l3rGpmYP8Pmi2Y7c,万达广场万达百货,周一至周日 10:00-20:00,15907552646
橘子绘本馆,https://www.dianping.com/shop/kaue1mlrFmTq7Nas,凤岗镇昌盛南路35号四楼,"周二至周五 14:00-20:00  周六,周日 10:00-18:30",15820888755
棒吉拉国际早教·托育中心(东城世博校区),https://www.dianping.com/shop/k8O23jycCAlNs1BD,南城区西平联景大厦3楼,周一至周日 08:00-18:00,4000303096-87514
棒吉拉国际早教中心(金域华府店),https://www.dianping.com/shop/l36ITBGXABzNElMs,香园路769文化创意园1栋2楼,周一至周日 08:30-12:00 14:30-18:30,4000303096-27917
书鲸阅读海洋第一国际校区,https://www.dianping.com/shop/i7Ylg8PjQrAWZeR1,东莞市南城区第一国际财富中心博学城二层,"周六,周日 08:30-18:30  周三至周五 09:00-21:00",18929227556
上语书田(莞城店),https://www.dianping.com/shop/G7gsOAQ43tvVJmtC,东纵大道8号3楼,周一至周日 09:00-22:00,4000303096-00006
海洋国际双语阅读馆,https://www.dianping.com/shop/H88gFr4Ts770cgQu,体育路都汇大厦602,"周六,周日 08:00-21:00  周一至周五 14:00-21:00",4000303096-36220
天天向上早教中心·优米儿童绘本馆(东城旗舰店),https://www.dianping.com/shop/G3KfqebaT0b2q48e,东昇路石井综合楼2号楼3楼,周二至周日 09:00-21:00,13922931039
十阅书房,https://www.dianping.com/shop/k7HL6b1ygGaqHJQc,东昇路寮步路段89号1077室,,
狮心绘童书馆,https://www.dianping.com/shop/k6MKgQpmRZWbOq5C,未来世界花园169号,周二至周日 09:30-18:00,13377700884
贝睿思玩具绘本馆(优幼乐亲子乐园),https://www.dianping.com/shop/FL29RFsQlFxpR9Dn,锦绣山河一期商业街（红棉派出所对面),周一至周日 09:00-21:30,18038390896
众德蒙台梭利儿童之家,https://www.dianping.com/shop/k2WSnqVHtsiJQmvS,莲峰北路沃多夫风临公馆3楼,周一至周日 08:00-18:00,16507690768
