Library_Name,URL,Address,Business_Hour,Phone_Number
小小世界国际早教(佛山禅城中心),https://www.dianping.com/shop/G1cvpJhNb760XYKa,桂城灯湖西路20号保利水城西街6栋3楼（南海实验小学对面）,周一至周日 08:30-18:00  2023-01-18至2023-01-30 休息,4000303096-36295
小小世界国际早教(佛山桂城校区),https://www.dianping.com/shop/jFwXSkAYxo1aZOVh,绿景三路10号佛山雅居乐花园c区4座小小世界国际早教中心,周一至周日 09:00-18:00  2023-01-16至2023-01-27 休息,0757-66868882
汉娜杰克的菜园(金铂店),https://www.dianping.com/shop/H9NXm1g3gODHG5Sd,建设大道33号31栋金沙洲金铂天地六层,周一至周日 09:30-18:30,4000303096-47161
一美术创意美学馆(桂城店),https://www.dianping.com/shop/G3ekqLbumzMS3aFS,桂城海八东路南海天河城3楼(金融高新区地铁站),周二至周日 09:00-22:00  2023-01-15至2023-01-28 休息,4000303096-33648
艺术蜂美术(佛山天虹店),https://www.dianping.com/shop/k45ew5oO9pRg7vFJ,季华七路怡翠玫瑰36-37座首层p118号铺,周二至周日 14:00-21:00,4000303096-57049
萌卡纳亲子绘本儿童成长中心,https://www.dianping.com/shop/k9m9Db4WtroBMCkt,府前路49号金盛广场F3层,周二至周日 09:00-21:00,4000303096-79409
晓满四季托育中心·多睿园区,https://www.dianping.com/shop/H80RO9YRPYLEkj5N,锦园路8号万锦豪园会所二楼,周一至周日 08:00-19:00,4000303096-26792
哈尼宝贝启仕亲子中心(朝安南路店),https://www.dianping.com/shop/l8Z1MDe6lf8hm9Fv,朝安南路30号时代云图北区p3p4号,周一至周日 08:00-18:00,4000303096-76875
新爱婴国际早教中心(盐步园),https://www.dianping.com/shop/H6dDNo6tzoZn3GG6,盐步河东中心路悦荔花园1栋114铺,周一至周日 08:00-19:00,4000303096-38069
新爱婴国际早教中心(平洲分校),https://www.dianping.com/shop/H2mH9nJFElhdhFxY,桂城街道怡居二街二层,周一至周日 10:00-22:00,4000303096-39347
贝特青少儿成长中心(禅城校区),https://www.dianping.com/shop/k7KPTyevfUKKMQy5,乐从大道东B270号天佑城4层A008-011,"周二至周五 10:00-21:30  周六,周日 08:30-21:30",18928616615
探趣儿童剧本馆·阅读·语言表达,https://www.dianping.com/shop/H7a6MKxaUq10QsHq,越秀越汇天地B区3楼（天才宝贝小小地球内）,"周三至周五 13:00-21:00  周六,周日 08:30-18:00",4000303096-53564
大Q小q沉浸式双语绘本馆(保利水城店),https://www.dianping.com/shop/H7U7ntV6vUoWHKcJ,桂城灯湖东路20号保利MALL三楼彩虹岛内,周一至周日 10:00-22:00,4000303096-64367
阅享家儿童多元创意阅读中心,https://www.dianping.com/shop/G9psaCuixFUiBEgq,兰乔圣菲49号楼商铺1（万圣怡幼儿园),"春季、秋季 周六,周日 08:00-21:00  周一至周五 14:00-21:00  夏季、冬季 周六,周日 08:00-21:00  周一至周五 08:00-18:00",4001016029-8236
书果星球少儿阅读成长馆,https://www.dianping.com/shop/ErZN8OAwzqikgWIu,桂城街道石龙南路6号映月湖环宇城三楼L361室,"周六,周日 08:00-22:00  周一至周五 10:00-22:00",4000303096-21719
