Library_Name,URL,Address,Business_Hour,Phone_Number
敏朗·早教·语言提高·感统互动·逻辑思维·自闭症干...,https://www.dianping.com/shop/H1aYByNydOccboEb,湖东路19号通联大厦3层,周一至周五 08:30-17:00,4001016029-0597
大墨蒲公英(福清福和万达广场店),https://www.dianping.com/shop/H3WIrztGOLSFD15P,福和路福和万达广场3楼,周二至周日 09:00-21:00,4000303096-02980
声造流行声乐唱歌培训,https://www.dianping.com/shop/G6eR7ypUqU5sTmV4,东街中福广场19楼（小肥羊楼上）（福建省立医院西100米）,周一至周日 09:00-23:00,18965085271
葫芦弟弟儿童书店,https://www.dianping.com/shop/G9MY43HRKskq534E,白马南路三县洲大桥江心公园,"周一至周五 10:00-21:30  周六,周日 09:00-21:30",13285912398
小象绘本•美学艺术空间,https://www.dianping.com/shop/ka2ombsfgRMqcs96,新都会财经广场9楼,周一至周日 10:00-22:00,4000303096-38486
PP Reading 菠萝悦读(三坊七巷中心),https://www.dianping.com/shop/H1WXVRJgcTkJTrJY,三盛i33城市广场6号103,周三至周日 09:00-21:00,4000303096-39467
昌南琴行&艺术教育(金汇豪庭店),https://www.dianping.com/shop/G9o34QNipODIfkON,湖滨路66号中福西湖花园1号楼C区C室3层（西湖公园正对面）,周一至周日 08:30-20:30,4000303096-30851
海豚国际儿童之家(泰禾广场校区),https://www.dianping.com/shop/H9fHqQMmh16SJQp5,连江北路126号东二环泰禾广场东区2层,"周一至周四,周日 10:00-22:00  周五,周六 10:00-22:30",0591-87320337
创艺宝贝福清中心,https://www.dianping.com/shop/l104nWdoPkttyUcj,清昌大道清昌万达旁侨荣城一号楼(中国银行旁),周六 08:30-20:30  周日 08:30-18:30  周三至周五 14:00-21:00,4000303096-18248
科蒂成长中心•河马悦读(仓山万达校区),https://www.dianping.com/shop/k4UtB5O9Ck6goZOW,鼓楼温泉公园路28号温泉社区综合服务中心3层,"周六,周日 09:00-18:00  周一,周二 08:30-18:00  周三至周五 08:30-21:00",4000303096-69403
PP Reading 菠萝悦读(三盛i33城市广场中心),https://www.dianping.com/shop/H4Pf8zmFGc4m1EJn,南街街道三坊七巷黄巷H2-2号（东街口地铁站C口步行390米),周三至周日 09:00-21:00,4000303096-39490
吉的堡成长中心(泰禾广场校区),https://www.dianping.com/shop/H2vHT43EYw5vtk1z,燕前路橡树湾,周一至周日 10:00-20:30,4000303096-37395
科蒂成长中心.河马悦读(鼓楼温泉校区),https://www.dianping.com/shop/G2ZS5jP5MykhyjyY,福峰路68号三盛i33城市广场3号楼二层,周一至周日 10:00-22:00,4000303096-69146
太阳雨教育双语绘本艺术馆,https://www.dianping.com/shop/H7N7LR1oBw30LndA,郑和西路泮野村仁德园二楼,周一至周日 09:00-21:00,4000303096-48794
大Q小q绘本馆,https://www.dianping.com/shop/k7j5D1J6s8LynHrf,胪安路城门镇南站阳光新天地商场2楼外围金街S1_215店面,周一至周日 10:00-22:00,4000303096-46420
