Library_Name,URL,Address,Business_Hour,Phone_Number
巧虎KIDS早教(万象城店),https://www.dianping.com/shop/G3x4svbgAo3DpURb,华润幸福汇27栋2楼,周三至周日 08:30-18:00,
萌卡纳,https://www.dianping.com/shop/G90TcXoK3DtrpxIh,九州大道壹然广场2楼2-223号,,
沁墨书苑,https://www.dianping.com/shop/G30YzRd9jF4EiAp7,华鑫路33号隆泰华庭S2-3商铺,,15679179922
优丫漫绘本艺术生活馆(城市商业中心店),https://www.dianping.com/shop/k9WUjzOAFHXMHBeb,城市商业中心负一楼210室,,15970853721
皮克布克绘本王国(南康育儿馆),https://www.dianping.com/shop/l9kYaI6PYg1vA5me,河边街金山路53号,,13667070677
巴立阅读馆,https://www.dianping.com/shop/iEogLwHGTU0lonru,于都路9号心愿花园6幢商业3单元,周一至周日 10:00-23:00,18870495034
小房子绘本馆,https://www.dianping.com/shop/H5wUgluomWh5meg1,（赣州经济技术开发区)玉潭大道7号,,13879795965
兰可琪,https://www.dianping.com/shop/Fvd1Na2aoqikM7Og,龙溪路东方名城写字楼一楼（县幼儿园隔壁）,,18166076117
童声童色绘本馆,https://www.dianping.com/shop/k6tNdeAYApLktMpi,南华大道城市商业中心5栋218号,周三至周日 08:30-06:00,0797-6680686
爱贝贝绘本馆,https://www.dianping.com/shop/k8wZcOe194tlvBsj,欣山镇沿江西路秋水伊人过道进三楼,,
鸿蒙思维绘画(南康校区),https://www.dianping.com/shop/G6dle9ty6VlfUmg6,府后路赣州南康索菲纳酒店南侧约30米,,
啄木鸟(中山步行街店),https://www.dianping.com/shop/l5KoA4M6t7WCS0al,中山街中山路17号,周一至周日 09:00-21:00,
培根绘本馆,https://www.dianping.com/shop/lafuRDmFnYOY9ZPo,长征大道5-1号,周二至周日 09:30-21:30,0797-6307827
未来星绘本馆,https://www.dianping.com/shop/iooEgWuL3rHF5jbx,城上路水城小学东侧,,
橙子绘本(童阅旗舰店),https://www.dianping.com/shop/H7fwgtXZiqfTIh5W,京里街21号2楼15-18号,,18166078881
