Library_Name,URL,Address,Business_Hour,Phone_Number
超绘玩·共享绘本玩具馆(合生广场店),https://www.dianping.com/shop/l4odmwd9zbESOXTA,叠景路168号170号合生广场南区3楼,周一至周日 10:00-22:00,
伊莱图书馆(天河中心),https://www.dianping.com/shop/k6nI8EcSZwFF8oxn,体育东路118号财富广场西塔三层自编号01-5单元,"周一至周五 11:00-20:00  周六,周日 09:00-18:00  2023-01-21至2023-01-27 休息",4000303096-86999
丸丸本本(太阳新天地店),https://www.dianping.com/shop/G8jKqpzpyIbnzGO5,广州马场路36号太阳新天地3楼312,周一至周日 10:00-22:00,4000303096-94781
Dora Play哆啦英式戏剧(东骏广场校区),https://www.dianping.com/shop/k2Dj6rVonZYCp5f0,越秀北路313-317号珠光御景3楼301号（近小北地铁口A出口）,"周六,周日 09:00-18:00  周二至周五 14:30-20:30  2023-01-17至2023-01-31 休息",4000303096-21836
绘悦·Sky艺术画室,https://www.dianping.com/shop/H3ubGvKratlQOGqS,三育路23号三寓宾馆南门会议中心一层,春季、秋季 周六 09:00-18:00  周一至周五 09:00-21:00  夏季、冬季 周一至周五 09:00-18:00,4000303096-93869
YOUBETTER优贝乐托育·早教(桥南校区),https://www.dianping.com/shop/l8rHd4iStymPQVr8,广州番禺区建华路西街辛鸿大厦3楼,周一至周日 09:00-19:00,4000303096-06518
海豚悠优阅读早教,https://www.dianping.com/shop/HackwYMYJgKztpUs,滨江东路545号二层,"周一,周三至周日 09:00-18:30",4001016029-4035
谦百家学园,https://www.dianping.com/shop/FvTsXs3fNyN7Xgfa,天河北路569号2楼207,周二至周日 10:00-20:00,13925148823
YOUBETTER优贝乐托育·早教(从化校区),https://www.dianping.com/shop/H8dqiPf2NGz3nFpK,广州番禺区建华路西街辛鸿大厦3楼,周一至周日 09:00-20:30,4000303096-06192
Sunnyheart随心音乐,https://www.dianping.com/shop/H2dS7it465JXDWva,赤岗艺苑南路13大院13大院7栋二楼201-4,周一至周日 10:00-23:30  2023-01-21至2023-01-26 休息,4000303096-46427
育童玉美·戏剧·绘本·演讲(海珠分店),https://www.dianping.com/shop/G25rxe56gyVX7w76,西湾路152号越秀财富大厦同学都荟西湾荟二楼201房之四,周二至周日 10:00-21:00,4001016029-3640
伊莱图书馆(越秀校区),https://www.dianping.com/shop/k3ajPIhEBoSRkCrY,滨江东路43-51号滨江宏岸二楼211号,"周一至周五 11:00-20:00  周六,周日 09:00-18:00  2023-01-21至2023-01-27 休息",4000303096-31250
爱乐祺国际托育早教中心,https://www.dianping.com/shop/G2yzCCGUv2125dvN,黄埔东路澳葡街115号201,周一至周五 08:00-17:00,18127996844
小鲸家亲子绘玩馆,https://www.dianping.com/shop/k2bHZOcLZGtBSrKh,雅惠街16号之三201房自编205-206铺,"周一,周三至周日 10:00-19:00",4001016029-2951
伊莱图书馆(滨江店),https://www.dianping.com/shop/k1nC59W3ZrhiKnhH,东风东路733号羊城同创汇编辑楼309-310室,"周一至周五 11:00-20:00  周六,周日 09:00-18:00  2023-01-21至2023-01-27 休息",4000303096-92062
