Library_Name,URL,Address,Business_Hour,Phone_Number
大鱼阅读绘本馆,https://www.dianping.com/shop/G5AOUfaSj7K1Ew2V,金清大道商铺FS-19-6号（宜家对面）,,
思科击剑中心(大上海万达校区),https://www.dianping.com/shop/G9xksZYvBe8ixeHd,新添大道南段万达广场3楼3070号,周一至周日 10:00-22:00,13087827890
大Q小q儿童绘本馆,https://www.dianping.com/shop/l8yewHpZy8XHrDxi,中山东路2号3层1号(智诚百货大楼3楼),周一至周日 10:00-22:00,4000303096-27418
三五锄微塾(观山湖万达校区),https://www.dianping.com/shop/H3MCqnO30w6aazKr,宾阳街道万达广场3楼,周三至周日 10:00-22:00,4000303096-46785
乐转城市书房(鸿通城店),https://www.dianping.com/shop/H1isUwnxHFO7GB0j,延安东路贵盐大厦2层舒普玛楼上（原西西弗书店）,周一至周日 10:00-22:00,0851-85767153
七田阳光早教中心(花果园校区),https://www.dianping.com/shop/l1zS4WMMxYrsXznL,未来方舟F9组团底商负3层26号,周三至周日 09:00-21:00,4000303096-59794
七田阳光咿吖窝早教托育中心,https://www.dianping.com/shop/l3KQRwcAd1YRSWK0,金华园街道金阳北路37号观府壹号项目一组团一期商业A区8号,周一至周日 09:00-21:00,0851-85611841
艺米罗绘画·书法,https://www.dianping.com/shop/G6q8UsS7p2QfHJbw,解放路100号鸿通城购物中心写字楼5楼301室,周一至周日 10:00-22:00,13668519861
沉浸式悬浮亲子剧场,https://www.dianping.com/shop/l54NEmATS6JoyUqJ,鸿通城购物中心2楼,周一至周日 10:00-22:00,17502226998
萌卡纳儿童绘本益智馆,https://www.dianping.com/shop/k61d3r4NrtUpqUqK,人民大道辅路与规划路交叉口东160米,,
长脸叔叔艺术绘馆(中央公园店),https://www.dianping.com/shop/l8wHw97vQufGIFdF,云岭东路中央公园网红街9栋二楼5号,"周一至周五 14:00-20:00  周六,周日 09:00-20:00",4000303096-46208
星辰儿童书房,https://www.dianping.com/shop/G3xrFLD52mg02qL9,世纪城福建路88号,,
贵阳安东尼绘本馆,https://www.dianping.com/shop/l5blCOhblkr8bpwO,都司路中天广场A座,周一至周日 09:00-18:00,18984344292
特乐斯亲子园·绘本馆,https://www.dianping.com/shop/l4ArJddc1nTZgkPu,湘雅街道中山南路花果园A南区4栋113号,"周一至周四 18:00-20:00  周六,周日 10:00-12:00 14:30-20:00  周五 19:00-20:00",13339608780
咪哞亲子阅读馆,https://www.dianping.com/shop/jQa7jG3vhCc1how8,长岭北路与林城东路交叉口西南角综保云上方舟F4层,周一至周日 10:00-20:00,18785143476
