Library_Name,URL,Address,Business_Hour,Phone_Number
麦吉布少儿双语阅读馆,https://www.dianping.com/shop/G4aFHGvxRMUmHcOm,荣域小区一期14栋二单元花园正门,周三至周日 09:00-19:00,4001016029-4259
藝绘童创·美育创作空间,https://www.dianping.com/shop/l4Zb0scbIXH8oCif,和平大道23-8号,周一至周日 09:00-22:30,4000303096-19552
爱阅家(友谊阳光城店),https://www.dianping.com/shop/i2QIAhTF1Y55Q8y2,金龙路2号友谊阳光城F5层,"周一至周四,周日 10:00-22:30  周五,周六 09:30-23:00",13518847468
红黄蓝亲子园,https://www.dianping.com/shop/G512vGsyNwNGijgb,美苑路铭德美景苑三栋2楼,"周六,周日 08:30-20:00  周一至周五 08:00-20:00",13807532575
老约翰绘本馆,https://www.dianping.com/shop/k2RLN2W8RH3I4YSp,新大洲大道绿地城三期玺园东门东南角10栋1层S109商铺,,13337690094
小禾苗中英文童书苑,https://www.dianping.com/shop/l5N000KqzWYC6nHc,和谐路13-6号,,18689970955
新生命绘本馆(白龙总部),https://www.dianping.com/shop/l9G1too5K718zZwU,海府一横路25号,,18976757179
啄木鸟,https://www.dianping.com/shop/l9Jwh5ELWdcWNKaB,海秀东路526号,,
Aerogia爱阅家,https://www.dianping.com/shop/H4IQEJZOY8eMzyA6,南海大道115号友谊·南海城F3层,,
嗨阅家,https://www.dianping.com/shop/k3EnQtqJqvm4n6Wz,白龙海尚明居（美兰区板桥路西）,,
赞赞绘本馆,https://www.dianping.com/shop/l4V2Hb5UCenoIrAQ,海德路2-5号道客和悦坊六栋二单元307室,周一至周日 09:00-21:00,19840797868
凯书童书馆(远大购物中心店),https://www.dianping.com/shop/k5YWQ5RwIb9tY12T,长滨四路7号远大购物中心F3层,,
悠贝亲子图书馆(友谊·国贸城店),https://www.dianping.com/shop/k3sSlLPI1yn1FxcU,玉沙路21号友谊·国贸城F2层,周三至周日 09:30-12:00 15:30-18:00,
优加绘本馆,https://www.dianping.com/shop/l2I7iyjBlchtg4Ry,海甸和平大道63-1号田德海泉湾A区1号楼1层S102房,周一至周日 09:30-16:00,18689987523
悠贝亲子图书馆海甸馆,https://www.dianping.com/shop/ixivofHKGGv3YlK2,海甸东三街碧桂园滨江海岸玺湾3期,周三至周日 09:30-19:30,15338930210
