Library_Name,URL,Address,Business_Hour,Phone_Number
爱秀素质成长中心(萧山校区),https://www.dianping.com/shop/G7VyyxiRZ4QLaFRk,联胜路6号西嘉广场3F07、08、09号商铺,周二至周日 10:00-22:00  2023-01-15至2023-01-27 休息,4000303096-84014
美一间画室·专业美院教学·少儿美术(吴山广场店),https://www.dianping.com/shop/k145BWwysPALf3PA,延安路9号吴山名楼四楼4023（近定安路站C出口、中国美术学院、吴山广场）,"周六,周日 10:00-18:00  周二至周五 13:00-21:00  2023-01-16至2023-01-30 休息",4000303096-63050
一亩童書館,https://www.dianping.com/shop/lae6vKShqLhlQOfM,五常大道联胜路10号华立创客社区云立方1幢南楼307室,周一至周日 10:00-19:00,4000303096-48568
麦琪萝丝早教·亲子家庭俱乐部(城西银泰店),https://www.dianping.com/shop/l6Ie7bhpzjaqa6Mp,北干街道萧杭路689号第20幢02室,周一至周日 09:00-21:30,4000303096-56916
培飞思维馆(城西银泰店),https://www.dianping.com/shop/j6V4P4eePREqFORk,江汉路1515号龙湖杭州滨江天街3F-A-30a,周一至周日 10:00-20:00,4000303096-98641
培飞思维馆(龙湖天街店),https://www.dianping.com/shop/Ga2b68DCocz9eHpt,五常大道1号西溪印象城二期3楼P3-03-20号,周二至周日 09:30-22:00,4000303096-97362
培飞思维馆(西溪印象城店),https://www.dianping.com/shop/kaQu5z9pqrhm3aR7,江汉路1515号龙湖杭州滨江天街3F-A-30a,周一至周日 10:00-20:00,4000303096-95020
墨洋书虫馆·双语·阅读·美术(杭州馆),https://www.dianping.com/shop/G9RhC6ToXSI7X7hP,博学路618号萧山科创中心A座力晶亲子智荟天地3楼,周一至周日 10:00-22:00,4000303096-47540
培飞思维馆(远洋乐堤港店),https://www.dianping.com/shop/G3TtOvyFr1Xi4hpk,江汉路1515号龙湖杭州滨江天街3F-A-30a,周一至周日 10:00-20:00,4000303096-10018
蓝星球创意图书馆(城东馆),https://www.dianping.com/shop/laurdXdf3AozkKUv,西湖文化广场1号B1层101室E4-12铺,周三至周日 09:00-20:00  2023-01-16至2023-01-31 休息,4000303096-23815
蓝星球创意图书馆(城中馆),https://www.dianping.com/shop/H5wQw6axELHdIVMg,环站东路777号东站西子国际A座3楼,"周三至周五 14:00-20:00  周六,周日 09:00-20:00  2023-01-16至2023-01-31 休息",4000303096-23867
悦读王国亲子图书馆,https://www.dianping.com/shop/G9tyTqriuKiZUzua,北干街道永久路288号万象汇写字楼B座3层302室,"周六,周日 09:00-20:30  周三至周五 13:00-20:30",4000303096-31502
鲸鱼美术馆,https://www.dianping.com/shop/G6a8DjwfbzZj15ZA,朝晖路179号嘉汇大厦1号楼307,周一至周日 10:00-21:00,4000303096-62890
维尼可阅读家·儿童分级阅读·思维逻辑训练(远洋万和...,https://www.dianping.com/shop/G4b0ECK0K7qtf9T6,花园兜路44号,"周六,周日 09:00-20:30  周一至周五 09:30-20:00  2023-01-13至2023-01-20 10:00-18:00 2023-01-21至2023-01-25 休息 2023-01-26至2023-01-31 10:00-18:00",4001016029-0202
知遇儿童书店绘本馆,https://www.dianping.com/shop/l4kVHNoaj6vbPFRG,大关路远洋乐堤港A区三楼F318,周一至周日 10:00-21:00,4000303096-98811
