Library_Name,URL,Address,Business_Hour,Phone_Number
青青禾苗儿童双语图书馆(万象馆),https://www.dianping.com/shop/H9afc9qUqTP9dhlC,和平路117-2-6号万象上东S6-6号商服(招商银行),周二至周日 10:00-19:00,0451-51975337
非画不可美术创作室,https://www.dianping.com/shop/G9Yr9XUScKeSXAcQ,哈尔滨大街恒大翡翠华庭7号楼11门市,周二至周日 09:30-18:00,15846334047
兰可琪双语绘本托育馆,https://www.dianping.com/shop/k7DphwVqQCDDkLnX,世祥路728号,周一至周日 08:00-19:00  2023-01-12至2023-01-30 休息,4000303096-85480
青青禾苗儿童双语图书馆(哈西店),https://www.dianping.com/shop/G9CcywrATujWr5IK,哈尔滨大街辰能溪树庭院S4-1-12,周二至周日 09:30-18:30,0451-51033837
润心绘本阅读馆,https://www.dianping.com/shop/l4chOkvv8yn29OOg,湘江路科技公寓405栋1层9号门市（赤水路24号）,"周六,周日 08:00-18:00  周一至周五 09:00-19:00",
毛毛虫童书馆(凯德广场店),https://www.dianping.com/shop/G7OSp0HnIOJe24p1,埃德蒙顿路38号凯德广场三层,周一至周日 10:00-22:00,18045066196
毛毛虫童书馆,https://www.dianping.com/shop/G6oanh0IdKSNsEvp,群力大道1176号远大购物中心群力店B1,周一至周日 10:00-22:00,18045066196
蜗牛阅读绘本馆(远大购物中心店),https://www.dianping.com/shop/H7fWZnYA5JJ6ydDj,群力远大购物广场步行街c1-13室,周二至周日 10:00-18:00,15546507296
小黑鱼儿童娱乐俱乐部,https://www.dianping.com/shop/H671jGZaZHTYuEyS,金中环商业广场B座460室,"周一至周三,周五至周日 10:00-18:30",18646556630
乔治绘本馆,https://www.dianping.com/shop/l2hHK5DEdUcabWcD,通站街64号通站街与卫生界交叉口往东在通站街区居民委员会往东5、6米左右的距离,"周六,周日 09:30-17:30",15546166317
青藤绘本美术工作室,https://www.dianping.com/shop/l3oO3KciJrCinCGs,海河东路信恒现代城文园A栋4门市,"周二至周五 10:00-18:30  周六,周日 08:00-19:30",18545533836
童行club中英双语阅读绘本馆,https://www.dianping.com/shop/H2bf9WMm0OfYg9Sw,悦城(北兴街)281号D7-2-102,周二至周日 10:00-19:00,13654583120
思威羽绘本语言艺术中心(哈西金爵万象校区),https://www.dianping.com/shop/k95lEmOoiA7HO3uv,群力大道1176号远大购物中心1层步行街,周一至周日 10:00-19:00,4000466777
中图绘本馆(金爵万象3期店),https://www.dianping.com/shop/l3lLeFcPKlbppWma,哈尔滨大街与南兴街交叉口西北100米,,
儿童素质教培基地,https://www.dianping.com/shop/G3DebfCuoOPQNoID,健兴路凤凰城3栋55号,,
