Library_Name,URL,Address,Business_Hour,Phone_Number
问贤·一学堂·学习力成长中心,https://www.dianping.com/shop/H1Bw19v6r8xmbgRv,凤凰城二期34栋106,周一至周日 08:00-21:00,4001016029-4641
巧虎KIDS成长中心(禹悦里店),https://www.dianping.com/shop/H1phTa19Yrt0JCd4,七里塘街道新蚌埠路与新海大道交叉口禹州天河茂三楼304b,周一至周日 09:30-21:30,4000303096-47978
吉的堡成长中心·宝悦(合肥校区),https://www.dianping.com/shop/k28hLmnbXybw8F91,科学大道8号兴园小区西门北侧,周一至周日 10:00-20:00,4000303096-39335
凤凰机器人儿童科技创意中心(置地广场校区),https://www.dianping.com/shop/l1OimzPfBwibkGsv,荷叶地街道怀宁路288号置地广场D座405室,周二至周日 09:00-18:30  2023-01-05至2023-01-31 休息,4000303096-19818
艺知艺行宝宝艺术成长中心,https://www.dianping.com/shop/k89AVPilxpcNvne5,笔架山街道习友西路颐园世家9幢104-105,周一至周日 08:30-21:30  2023-01-13至2023-01-31 08:00-17:30,4000303096-89654
比特易国际早教中心(武里山天街店),https://www.dianping.com/shop/F8TBpFINuAYAKsiP,扶疏路与武里山路交叉口武里山天街C座3层,周一至周日 00:00-23:30,4000303096-39477
吉的堡成长中心(合肥高新校区),https://www.dianping.com/shop/H2ah5iBVL7fV3586,当代花园20栋商铺3楼,周一至周日 全天,4000303096-22403
悦笃书房中文+英语双语阅读(高速馆),https://www.dianping.com/shop/Gab1l7XeHuT9H16G,烟墩街道高速时代广场写字楼C6北4楼,周二至周日 10:00-19:00,4000303096-03698
大Q小qAI光影绘本馆,https://www.dianping.com/shop/k2Y39iXI5vKGTVTd,"临泉东路277号瑶海万达广场和县路8号门入口,金街2楼（邻几楼上）",周一至周六 10:00-22:00,4000303096-31299
悦笃书房·中英文·双语阅读馆(金融港店),https://www.dianping.com/shop/H7OjyE7e5DLhg41B,徽州大道4872金融港A9栋东边201,周三至周日 09:00-19:00,4000303096-38561
安妮花阅读馆(大唐国际购物广场店),https://www.dianping.com/shop/FR6rwW7mLFvzdo49,望江西路大唐国际购物广场3楼,周一至周日 10:00-20:00,0551-65522183
老约翰绘本馆(南巢商业街店),https://www.dianping.com/shop/H5VXui1dk2FEBLnj,百大购物中心对面北大街莫斯科书店旁边楼梯二楼,春季、冬季 周二至周日 09:30-18:30  夏季、秋季 周二至周日 09:30-19:00,
小狮绘本馆,https://www.dianping.com/shop/kaiZsxCCCcefBsvD,阜阳北路与金峰路交叉口,,
爱望优七田国际(绿地赢海校区),https://www.dianping.com/shop/H4BzJfML14uLSBNn,南二环路3818号万达广场(天鹅湖店)F3层,周二至周日 09:00-19:00,18055132939
彼思顿原版阅读馆,https://www.dianping.com/shop/k8WZdrsIlqe00o4l,中侨中心A座3楼308室,周一至周日 10:00-18:00,15856952017
