Library_Name,URL,Address,Business_Hour,Phone_Number
知阅中英文儿童阅读成长中心(万达店),https://www.dianping.com/shop/k5k2jQi33hMZzEZN,万达广场金街79号知阅阅读,周二至周日 09:30-19:30,4000303096-82872
大Q小q沉浸式双语绘本馆(金地MALL淮安店),https://www.dianping.com/shop/G8d8HkOpHbhd4OxN,翔宇中道168号金地MALL三楼,周一至周日 10:00-21:00,4000303096-27148
有呀有呀童书馆,https://www.dianping.com/shop/H1Ml4Zcbatu1p1xn,福缘巷生态新城绿地世纪城五期188幢11号商铺,周二至周日 14:00-20:00,4000303096-53160
悠贝亲子图书馆,https://www.dianping.com/shop/l283xQk42oOmnpvq,淮楼东路100号九升国际广场F2层,周二至周日 09:00-11:30 14:00-18:00,18901407978
吉昵中英文绘本馆(淮信大厦店),https://www.dianping.com/shop/l3UNn022GJ0YfvF7,淮海南路65号淮信大厦F3层,,0517-83917771
爱阅家(枚皋路店),https://www.dianping.com/shop/G2SqrB8TPRL0AWq7,生态文旅取凤里路1号淮安吾悦广场3楼3049室,,18952189996
兰可琪双语绘本美学生活馆,https://www.dianping.com/shop/k3INUUQpqA0jF5hd,淮安市清江浦区健康东路75号2幢2室,周二至周日 09:30-19:30,0517-80782999
书声琅琅绘本馆(实小校区),https://www.dianping.com/shop/l8lS1ZNQC1YEn0sW,漕运西路70号清河区公安消防大队西侧,,0517-83938900
知阅绘本(香格里拉中心),https://www.dianping.com/shop/G6zGoTAm56XHYYHK,南昌路香格里拉D区19号楼28-148室,"周六,周日 08:00-11:30 13:30-19:00  周三至周五 09:00-11:30 14:30-19:30",
优漫中英文绘本馆,https://www.dianping.com/shop/FOZD6c7PUcLGBlHJ,清泓花苑A51号,周二至周日 09:00-11:30 14:30-19:30,15950387917
吉昵绘本馆,https://www.dianping.com/shop/l1WuyzTYCibrgcph,福地路与景会路交叉口西120米星海辰文体中心三楼,,15252409279
兰可琪绘本美学生活馆,https://www.dianping.com/shop/G6EUMqbUt9F0aOQF,康城路小康城一区34号,周二至周日 08:00-21:00,18852300020
老约翰绘本馆,https://www.dianping.com/shop/iF3akNx9dDY7nBLK,黄河东路3-156号,,18652314266
哈维英文绘本馆(一品国际店),https://www.dianping.com/shop/l9OGQZaXYKn5mLx3,永怀东路一品国际二街A60号,,
爱阅大眼睛(翔宇大道店),https://www.dianping.com/shop/H2SFoc0pflwZ6f3e,易郡龙腾3幢106室正西方向60米,春季、冬季 周一至周日 08:30-20:00  夏季、秋季 周一至周日 08:00-20:30,15061288020
