Library_Name,URL,Address,Business_Hour,Phone_Number
100层亲子图书馆,https://www.dianping.com/shop/H9LR34sHvCC9Xn0h,舜宁路29号,周二至周日 09:00-21:00,4000303096-53762
艾比象国际育儿中心,https://www.dianping.com/shop/k64tRKegNkNXk9Up,龙鼎大道全运村中央广场F1层,周一至周日 08:00-18:00,0531-68880008
星星和蒲公英儿童图书馆,https://www.dianping.com/shop/l6T62dG5LsOFHbjZ,洪山路金邸山庄2号楼底商,周二至周日 09:30-20:30  2023-01-17至2023-01-29 休息,4000303096-89679
中铁艺术文化活动中心(中铁校区),https://www.dianping.com/shop/H8izRbEg7TYIo0LM,万达华府南北区中间商业街东头路北,周二至周日 09:00-21:30,18668912586
奥尤佳七田全脑开发(阳光100店),https://www.dianping.com/shop/H3BJnUeuAfj5FORs,恒大城公寓H栋商铺三楼1-301室,周二至周日 09:00-18:30,4000303096-93875
贝壳妈妈国际婴童学苑,https://www.dianping.com/shop/Fr38JI2kR3stvQVh,鑫苑世家公馆,周一至周日 10:00-22:00,4000303096-23439
三五锄微塾(济南奥龙中心),https://www.dianping.com/shop/G5v0xMj1Ym9Rxyon,舜义路558号逸家广场购物中心2层227号,周一至周日 10:00-22:00,4000303096-07161
倍爱读绘本馆(全福店),https://www.dianping.com/shop/G7UgNQB798ug4J6v,领仁路领秀城贵和购物中心一层,周一至周日 10:00-22:00,18006363753
纽迪艺术培训学校(万达校区),https://www.dianping.com/shop/k7R0JUz1BmleXX54,旅游路15099号中铁逸都兰庭南区8号楼一单元底商103,周一至周日 08:00-23:30,15614687239
童学馆(少儿国学教育),https://www.dianping.com/shop/G1V9IJZvMhX5ixsW,经六路432号,周一至周日 09:00-18:30,0531-88801777
小马快跑成长中心(和谐广场中心),https://www.dianping.com/shop/G4wUca7MCa3pdb29,经十路和谐广场三层320室,周三至周日 09:00-22:00,17866975703
倍爱读绘本馆(领秀城贵和店),https://www.dianping.com/shop/k7KfUOpAfQpQDccR,北园大街荣盛时代国际广场二楼,周一至周日 10:00-22:00,13325102391
老约翰绘本馆,https://www.dianping.com/shop/l7vgwCwPFrElKNh5,鲁能领秀城中央公园东区商业街16-206室,"周一,周三至周日 09:30-21:00",4000303096-37219
蝌蚪星·自闭症干预·语言康复·感统训练(铭邦大厦校...,https://www.dianping.com/shop/G57Hk9CbjGcTG7wN,花园路35号北A区商铺,周一至周日 08:30-17:30,4000303096-20686
全纳优童儿童能力发展中心(高新校区),https://www.dianping.com/shop/H3ugciIannHabjcp,唐冶新区华夏帝苑北门东商铺102号,周二至周日 09:00-20:00,4000303096-92797
