Library_Name,URL,Address,Business_Hour,Phone_Number
悦读书房,https://www.dianping.com/shop/jq6TDPyJq4BQMUIT,多湖街道东华家园北区44-2-14、15、16、17,"周一至周五 13:30-20:30  周六,周日 08:30-21:00",4000303096-23296
趣童儿童阅读场(北苑店),https://www.dianping.com/shop/G9kCx4OqnOi6rtph,雪峰西路丹溪三区丹桂苑26幢1楼6单元,"周一,周三至周日 09:30-20:30",4000303096-70627
悦想绘本馆(万泰奥特莱斯购物公园店),https://www.dianping.com/shop/G4ZI9WhD4iGDRNdv,紫金南街万泰奥特莱斯2楼,周二至周日 10:00-21:30,18868450665
悠贝阅读体验馆,https://www.dianping.com/shop/G2W7RMWXx4GTpGOs,八一南街与三春路交叉路口西侧（南国名城）,"周一,周三至周日 09:00-20:30",0579-82995918
北山beishanstudy-山北绘本屋,https://www.dianping.com/shop/l3kaLRkWI9JASCni,师大街260号,周二至周日 09:00-20:30,18057981627
优丫漫绘本艺术(金华市江北馆),https://www.dianping.com/shop/l8VG8LoxoIVitydC,凤山街48号,,13819972820
老约翰绘本馆(和信路店),https://www.dianping.com/shop/l7Q1JiH8SfFuJLxl,和信路1021号2楼,,13396794518
小豆芽绘本馆(中南名城店),https://www.dianping.com/shop/FDp8iMoUOtHQ4Kgx,环城西路中南名城,,18248560624
萌卡纳儿童绘本馆(龚大塘1区店),https://www.dianping.com/shop/H50WaqPFQ4cvSGxH,龚大塘一区21栋一楼,周一至周日 10:30-21:30,13566939351
ABC英文绘本馆(商博路店),https://www.dianping.com/shop/G9YlY4jhK91FRVpM,商博路35号,周一至周日 10:00-22:00,
老约翰绘本馆(通惠门路店),https://www.dianping.com/shop/l16nw2JD60EYDvhJ,通惠门路115号,,18969378928
蜕变之旅绘本馆,https://www.dianping.com/shop/kaPCLQCAC1RSLQmC,宗泽路224-2号附近,,18767926746
爱阅家(义乌之心店),https://www.dianping.com/shop/laKeAplAj0JBtMua,工人西路9号义乌之心北门三楼D10,"周一至周五 10:00-22:00  周六,周日 10:30-22:30",15267344692
童心童话绘本中心,https://www.dianping.com/shop/G6tASr59MRHTnYH5,城东路582号4楼,,13858921368
兰索绘本馆,https://www.dianping.com/shop/GaIWhMEh4fU62miD,南湖花苑五区悦学教育,周二至周日 14:00-17:00,0579-87667111
