Library_Name,URL,Address,Business_Hour,Phone_Number
理想书社,https://www.dianping.com/shop/k60C3Swrzmr9bW7x,运河城二楼东区,周一至周日 10:00-22:00,0537-2338496
安妮花阅读(吾悦店),https://www.dianping.com/shop/k5vrcVa3YZGS1H3B,运河路吾悦广场三楼3001号商铺,周一至周日 10:00-22:00,15646728587
未来魔法绘本馆(瑞马店),https://www.dianping.com/shop/H2nYuyOcOJCPAYbj,瑞马名门商业街北首路东,周二至周日 09:00-20:30,4000303096-31783
长颈鹿亲子书店(春天店),https://www.dianping.com/shop/EKmMgCwxsM3W84qc,吴泰闸路与供销路交叉口向西80米路北,周二至周日 09:30-20:30,15092626641
神墨教育,https://www.dianping.com/shop/l8x82B28ptkm1Z06,龙桥北路184号附近,,15854798730
安东尼绘本馆,https://www.dianping.com/shop/FLKaEibxXnTG8KYU,扬州北路新百汇精品酒店南侧约60米,,13853706453
长颈鹿亲子书店(阳光店),https://www.dianping.com/shop/G62MEX12wGCJcg1J,科苑路阳光城市花园东门往北200米路西,周二至周日 09:30-20:30,19953728328
欣欣画廊,https://www.dianping.com/shop/k1kPrGGnm2Xa73pF,太白楼西路5号,,
源点画室绘本馆,https://www.dianping.com/shop/H7HKRQgZJlDj7L17,104国道西50米,,15065378787
双语阅读馆,https://www.dianping.com/shop/G4HDwdz980AJpEeC,紫御华府春秋东路19号4-18号,,
仁者乐山亲子书店,https://www.dianping.com/shop/H8vCCBwnCYi8iQ7K,科技一路慧灵顿国际幼教综合体一楼,周一至周日 10:00-22:00,13012618964
乐朗乐读阅读,https://www.dianping.com/shop/k1Giiy6WtkzTgRU6,文化路西侧数码城东段,,19954231023
向日葵阅读馆,https://www.dianping.com/shop/H5vbFDUhjJFUeGSr,岐黄街东首路南,,
暖暖心童书馆,https://www.dianping.com/shop/l3fg3PQzD6B57oSc,滨河路百年巨匠艺术公馆1-105号,周二至周日 09:30-18:30,18653797911
布纹熊绘本馆,https://www.dianping.com/shop/l7WEu3EXroSjHu6R,万达广场10号门东北170米,周二至周日 09:00-20:00,13405370203
