Library_Name,URL,Address,Business_Hour,Phone_Number
最爱儿童亲子图书馆,https://www.dianping.com/shop/H12vNRqAyk9z8RaK,俊发名城百合苑2栋12号商铺,周二至周日 10:00-12:00 15:30-20:30,4001016029-2717
智博文化艺术培训学校(美辰百货店),https://www.dianping.com/shop/k7ydFVDkLUruj2UH,-一二一大街文化巷云大宾馆附楼5楼整层,周一至周日 10:00-22:00,4001016029-5910
爱吖吖艺术培训学校,https://www.dianping.com/shop/k5tow1JL6vcqi1W5,世纪城叠春苑4幢4单元1G号,周一至周日 09:00-22:00,4000303096-06263
乐吾享学(金色俊园校区),https://www.dianping.com/shop/GaDLac4B71PK6GcM,龙华路万派中心绿竹大厦4楼,周一至周日 10:00-21:00,4000303096-37345
悠贝亲子图书馆(洛启分馆),https://www.dianping.com/shop/k7jd3vdYFICybtpu,锦绣大街166天阶Yomi儿童教育二楼,周三至周日 14:00-20:30,13529256870
吉的堡成长中心(俊发校),https://www.dianping.com/shop/H1essBAb2NQHEVJC,龙波路2-16号俊发城金盏苑A栋商铺,周一至周日 09:00-21:00,4000303096-30661
童书之家绘本馆,https://www.dianping.com/shop/H6WuqRVdUL0dkvvg,银海幸福广场商务写字楼D座410,"周六,周日 09:00-18:00  周二至周五 14:00-21:00",4000303096-78697
悠贝亲子图书馆(七彩云南第一城分馆（金宝宝）),https://www.dianping.com/shop/k1cOFobTe8vS909D,锦绣大街166天阶Yomi儿童教育二楼,周三至周日 10:00-21:00,18388216835
JOYBAY少儿双语·BONS成人英语口语培训中心,https://www.dianping.com/shop/EmocYVUuYLM9RzFA,丰宁街道二环西路421号中渝云都国际二分之一星球商城3楼,周一至周日 10:00-21:00,18087453320
宝贝英语·Baby English,https://www.dianping.com/shop/H3ZVElOwtf1RiCnE,马街街道人民西路795号张峰梁河美食城二楼203室,周一至周日 全天,4000303096-76109
壹半书创意美术,https://www.dianping.com/shop/G7IbpfYHPhLftFTv,志强路同德广场B区7幢27号,"周六,周日 09:30-18:30  周三至周五 13:00-21:00",4000303096-30197
悠贝亲子图书馆(湾流海童画分馆),https://www.dianping.com/shop/G2lwqTiVGoaKK1Cq,锦绣大街166天阶Yomi儿童教育二楼,周三至周日 10:00-18:00,
参差教育(爱琴海校区),https://www.dianping.com/shop/H9phhnbO5lRf3aaw,爱琴海购物广场玫瑰天街二楼,周一至周日 10:00-22:00,18788176023
书语者绘本馆,https://www.dianping.com/shop/H4zosC06jEK28SyJ,北京路金江小区商铺7-21门店,周二至周日 10:30-18:00,15087243839
成长树英文绘本馆,https://www.dianping.com/shop/GaQ2IpmI3gkWs25V,滇池源居1栋3单元102室,周二至周六 13:00-21:00,0871-65015837
