Library_Name,URL,Address,Business_Hour,Phone_Number
老约翰绘本馆(连云港市区店),https://www.dianping.com/shop/H8LN9J0qnhRKHYCg,新浦君悦财富广场3楼（巨龙南路与绿园路十字路口东),周一至周日 09:00-19:00,0518-85467768
好妈妈童书馆,https://www.dianping.com/shop/l9LNL8P6RhLZKi1j,文化路东关路29号,周一至周日 10:00-22:00,13812326517
优丫漫,https://www.dianping.com/shop/FdiSFh1NmZNXPPvl,新孔南路东方领秀底商,周一至周日 09:00-12:00 14:30-18:30,18036678431
连图西储英文绘本馆,https://www.dianping.com/shop/l3GWTtB0P7Ku7AiD,苍梧路56号市图书馆三楼,,0518-85858506
优漫绘本阅读馆,https://www.dianping.com/shop/k29P8YTW5JFl22wb,华中路133-19号,周一至周日 10:00-22:00,19851837887
兰可琪绘本美学馆,https://www.dianping.com/shop/G9JOhrrpyvfyy4tZ,北辰中路1-1A号,,18082058001
萌卡纳绘本成长体验馆(赣榆吾悦店),https://www.dianping.com/shop/H1YBY9HIzRPs2Jod,吾悦繁华里S2-2028室,周一至周日 09:00-21:00,18751231510
智慧树绘本馆,https://www.dianping.com/shop/FSNMnxV5kUyJ8VSj,二环西路7号,,13505138838
智绘小童童书馆,https://www.dianping.com/shop/G21LFcHCe0NIDKgv,义塘路凤凰华庭西门跃进街9-22号,周一至周日 10:00-22:00,13179593180
快乐鱼绘本馆,https://www.dianping.com/shop/HajykIXVUfF4LHNH,五羊路65-17号,周一至周日 09:00-11:00 14:00-19:00,13905135276
老约翰绘本馆(一麟路店),https://www.dianping.com/shop/G2QkCTwRzLStZIjs,万达广场三楼孩子王,"周一至周四,周日 10:00-21:30  周五,周六 10:00-22:00",
慧童绘本馆,https://www.dianping.com/shop/l8tDmUME2ZEXsh63,"维多利亚小区南区西门口往南30米,门牌号:31-C-05号",,
小书虫绘本馆(巨龙南路店),https://www.dianping.com/shop/FYKbEetyhktusvm8,巨龙南路59号八佰城市走廊南端斜坡上二楼第3家,,18061465525
魔法逗绘本馆,https://www.dianping.com/shop/H8I6mMZfMNCh5FRi,新民西路70-6号,,
小小孔子高效国学识字,https://www.dianping.com/shop/G1O8bBzcHPrXeAmT,维多利亚,周一至周日 10:00-22:00,18751257188
