Library_Name,URL,Address,Business_Hour,Phone_Number
新东方素质成长中心(华源凯旋广场店),https://www.dianping.com/shop/l59kAEzCLXepY4Zt,凯旋东路50号华源凯旋广场3楼301-b商铺,周一至周日 全天,4001016029-0705
7989画室(涧西校区),https://www.dianping.com/shop/k2jWltIM4FQWiMDN,景华路与太原路交叉口向西路北轴二小西侧50米5楼,周一至周日 08:00-23:00,4000303096-37229
3Q儿童商学院(新区旗舰校区),https://www.dianping.com/shop/H3PUq2hIfnQq4IJO,长兴街与牡丹大道交叉口中弘开阳花园南门底商,周一至周日 08:30-19:00,
时代培飞思维启蒙游戏馆·数感培养·逻辑推理(洛阳名...,https://www.dianping.com/shop/k6KcbZaiMLRQErzR,珠江路街道南昌路与九都西路交叉口名门微生活商场3楼,"周一,周三至周日 10:00-20:30",4000303096-18653
红黄蓝成长中心(泉舜店),https://www.dianping.com/shop/G4hHJ2Nejuk8UxS8,牡丹大道与兴洛西街交叉口西南角锦泉苑,周一至周日 09:00-20:00,13938870773
贝贝绘本馆,https://www.dianping.com/shop/imxzxKihAlPR4gjc,海棠路智能小区西北侧,,
123儿童绘本馆,https://www.dianping.com/shop/l3n2BpdP9a1tOlju,汉屯路26号都市梦园临街2楼,"周六,周日 09:30-07:00",
青幽少儿美术(新区奥体校区、展览校区),https://www.dianping.com/shop/HabZn4lCDt6Dit0H,健康西路升龙广场a区3楼,周二至周日 09:00-20:00,18037352020
童曦童书馆,https://www.dianping.com/shop/EiNpoxlxTIrSLHi9,万国银座B座12楼1207,周一至周日 09:00-19:00,13653792154
爱源月儿童阅读中心,https://www.dianping.com/shop/k2Z2pFInja43Rmac,古城路216号8栋103盛唐至尊随园汇一楼门店,周一至周日 09:00-19:00,15517991699
晴天拾光绘本馆,https://www.dianping.com/shop/H9bvn3qZACPUIY3D,长兴街保利香槟国际西门南侧,,
知慧书绘本馆,https://www.dianping.com/shop/G7jHgtc91s5vukbV,岳洛路与023县道交叉口西180米,,18736328654
河洛书苑洛浦苑城市书房212号,https://www.dianping.com/shop/G6NLfM7VjzrUV0qg,九都路67号院,,
老约翰绘本馆(盛唐至尊店),https://www.dianping.com/shop/l6Vl8QpiKua15VyD,王城大道与古城路交叉口盛唐至尊9号楼爱育幼童2楼,周一至周日 09:00-19:00,15538848895
小豆丁美术绘本,https://www.dianping.com/shop/l6FUjb1XgN78CDNJ,中弘范特区9号楼607,周一至周日 10:00-22:00,13598169963
