Library_Name,URL,Address,Business_Hour,Phone_Number
一所艺宿,https://www.dianping.com/shop/G4YE5f7dDz5wdPA1,百步滨江7-2、7-3,周一至周日 09:00-20:30,4000303096-03010
柠檬成长家·美术·围棋·乐高·书法·绘本,https://www.dianping.com/shop/l1WFM2VY5KQ9I3D1,将军大道20号翠屏国际广场21幢27&28室,"周三至周五 13:30-20:30  周六,周日 09:00-18:30  2023-01-12至2023-01-31 休息",025-52179520
菲兹罗伊·Discovery Kids 英语综合能力(凯瑟琳广场店...,https://www.dianping.com/shop/l1CY68a4kO9dzLfr,漓江路7号瑞园街区三楼,周一至周日 09:00-17:30,4009636619
树懒故事屋 SlothStoryHouse,https://www.dianping.com/shop/G9QGT4vlUSG00aNi,湖北路吾悦广场三楼,周一至周日 10:00-21:00,4000303096-43570
贝想婴幼成长中心(金地校区),https://www.dianping.com/shop/laUTMlRskS2ipgBM,金尧路金地宝龙峯汇中心6栋2层,周一至周日 08:30-18:00,4000303096-62694
艺起长大少儿美术教育(雨花初见校区),https://www.dianping.com/shop/G2BYRxQrHkK6cey5,丹凤街恒基公寓B座4层花园西侧（丹凤街金润发楼上；建筑西南角和东北角恒基公寓入口电梯厅上4楼步行至空中花园）,"春季、秋季 周六,周日 08:30-17:30  周二至周五 14:30-20:30  夏季、冬季 周一至周五 08:30-17:30",4000303096-07236
艺起长大少儿美术教育(奥体阳光校区),https://www.dianping.com/shop/EkWEq6aaLyCgVyFK,丹凤街恒基公寓B座4层花园西侧（丹凤街金润发楼上；建筑西南角和东北角恒基公寓入口电梯厅上4楼步行至空中花园）,"春季、秋季 周六,周日 08:30-17:30  周二至周五 14:30-20:30  夏季、冬季 周一至周五 08:30-17:30",4001016029-1058
美言美语英语阅读馆(鼓楼校区),https://www.dianping.com/shop/F1Kcers3jJWkvbMO,双龙大道1688号金鹰国际购物中心二楼,周三至周日 09:30-18:00,13260712283
贝想婴幼成长中心(明发校区),https://www.dianping.com/shop/k6f24S1UAR3b4oZd,金尧路金地宝龙峯汇中心6栋2层,周一至周日 09:00-22:00,4000303096-45716
明觉古琴社,https://www.dianping.com/shop/l3aQHL3Im0rqs9Wx,丽新路艾菲国际B区四栋,周一至周日 10:00-22:00,4000303096-70203
奇尔思青少儿中心(河西旗舰店),https://www.dianping.com/shop/l2NoelWokKi8SWRi,河西大街230号台湾名品城5馆2楼,"周六,周日 09:00-18:00  周二至周五 13:00-20:00",4001016029-4710
拓朴艺术·戏剧·科学·核心素养,https://www.dianping.com/shop/ka6x5rrO6XfOAPmd,汉中路27号友谊广场3楼,"周六,周日 09:00-18:30  周二至周五 10:00-20:30",4001016029-4398
艺起长大少儿美术教育(丹凤花园校区),https://www.dianping.com/shop/l92mMXbxl2ooDSXx,雨花体育中心2层（体育中心西门楼梯上一层；体育中心三层大平台西侧楼梯下一层）,春季、秋季 周六 08:30-17:30  周一至周五 14:30-20:30  夏季、冬季 周一至周五 08:30-17:30,4000303096-67906
美乐教育英文绘本·美术·乐高·体适能(河西万达校区),https://www.dianping.com/shop/k7YUrnJ0bnLPgR2O,湖南路1号凤凰国际书城3楼,周一至周日 08:30-20:30,4000303096-00969
米象艺术美学教育,https://www.dianping.com/shop/ie9fXfmpacJDdV0x,方家营路锦绣华府东苑1号商铺,"周六,周日 09:30-18:30  周二至周五 10:00-20:30",4000303096-19579
