Library_Name,URL,Address,Business_Hour,Phone_Number
恩吉拉国际早教中心(安吉万达店),https://www.dianping.com/shop/H6r5XwUHunISMN75,安吉街道安阳路239-242号安吉万达广场16栋,周一至周日 08:00-22:00,4000303096-87376
匹格布有声绘本馆,https://www.dianping.com/shop/k6pVC5TgLTMDsUMi,东葛路135号岭南家园商铺D座二楼,"周二至周五 12:00-20:30  周六,周日 10:30-18:30",0771-2874451
百特安娜儿童创艺中心,https://www.dianping.com/shop/H6uXkHUd7tmP4S3r,北湖北路2号大唐天城7号楼34层3420号（亚朵酒店楼上）,周一至周日 09:30-21:30,4001016029-7920
爱育幼童右脑全脑潜能教育(西乡塘店),https://www.dianping.com/shop/H8WzIlvl1sT45a1Y,银海大道710-2号瑞和家园四期B1190-1191号,周一至周日 08:30-21:00,0771-3392857
海森绘本阅读中心,https://www.dianping.com/shop/E8mNbkSOFLDGm1ca,清厢快速路(瀚林御景),"周六,周日 12:00-21:30  周二至周五 15:00-21:30",13307869052
儒艺艺术培训中心,https://www.dianping.com/shop/laPXQJGCnIZCB9lI,白沙大道新兴苑小区石之梦七栋一单元201,"周一,周二,周四至周日 11:00-22:00",15623098424
爱阅童书馆,https://www.dianping.com/shop/H8NzzhkckkpzSRbW,昊然风景,周一至周日 10:00-22:00,13878125529
艾思派双语阅读馆(七星馆),https://www.dianping.com/shop/H7fOhtYbu1rcEsrg,新民路125号文化综合市场二楼3号铺,周一至周日 10:00-22:00,18878826784
艾瑞丁绘本馆,https://www.dianping.com/shop/H65XpO3Kou4UhL1h,昆仑大道温莎北郡E1020号,,19195805920
恒科教育,https://www.dianping.com/shop/H1C96exNUsyNaX7d,青环路86号恒大苹果园,周一至周日 10:00-22:00,4000303096-94409
悠贝亲子图书馆(航洋国际馆店),https://www.dianping.com/shop/H4IjApSebmquDJtg,民族大道131号航洋国际3层050室美吉姆早教中心内,周一至周日 10:00-18:00,13768305853
麦咭艺术绘本馆,https://www.dianping.com/shop/l7DGxlgoUMaMm1ic,云景路春晖巷8号商铺一楼,周一至周日 10:00-22:00,19117511810
阅悦童书馆,https://www.dianping.com/shop/H878CkXwTU1o9Erj,明秀东路荣和山水绿城一期6栋,,18269104977
小西欧中英文绘本馆,https://www.dianping.com/shop/k7sZcwIAANU6Udn9,高新南二路5号华成都市兴华苑1区b栋002号铺,,19978117785
毛毛虫童书馆(南宁越秀路店),https://www.dianping.com/shop/l6pVDnjg1bloa8xD,越秀路7号倚林佳园1号楼-9商铺,周二至周日 10:30-21:30,19116809916
