Library_Name,URL,Address,Business_Hour,Phone_Number
约读书房,https://www.dianping.com/shop/k6192lplwispgar1,星光耀17幢117室02,周一至周日 10:00-22:00,18362120001
LIGHT绘本馆,https://www.dianping.com/shop/G4oxhOx2376MxwSX,福瑞嘉园7号楼20、21号商铺,"周二至周五 14:00-20:00  周六,周日 09:00-19:30",4000303096-78684
安妮花少儿英语阅读馆(妇儿乐城馆),https://www.dianping.com/shop/G2UbnK5XdMWdeaBP,通富北路妇儿乐城2幢111一楼，中南世纪花城向南400米（冠珠陶瓷、格林豪泰酒店）,周二至周日 09:00-21:00,13912259158
南通老约翰绘本馆(环城东路店),https://www.dianping.com/shop/H6lbClJkhq5a18Ww,环城东路71-11号金鹰商业街2层,周一至周日 09:00-18:00,17778766084
大Q小q绘本馆(观阳店),https://www.dianping.com/shop/l8h68rCeHLVnhsa8,观阳名邸商业铺4楼,"周六,周日 08:30-17:30  周一至周五 10:00-20:30",
悠贝绘本馆,https://www.dianping.com/shop/l6lZ660K8rONuFjC,工农南路中南世纪城38号楼未来城SOHO6层620室,周三至周日 10:00-17:00,13921465550
神奇世界绘本馆南通世茂店,https://www.dianping.com/shop/jPWZ7QFslRARc9dv,世贸广场6号304室,周一至周日 10:00-22:00,13813603466
24小时城市书房,https://www.dianping.com/shop/H2hFRMmk01TjsCHc,黄海东路星湖001商业广场F1层,,
蔚来可期,https://www.dianping.com/shop/G67uiYI3olxlRlDO,石桥路北城名郡15号楼102室,周一至周日 10:00-22:00,15862741773
谷粒童书绘本馆,https://www.dianping.com/shop/l4AJ83NjxzStwShn,益寿路268号集贤大厦,,17766469339
海马阅阅绘本馆,https://www.dianping.com/shop/l4CW0p8WAPien0dV,星城路中南世纪花城三期2楼,周一至周日 10:00-22:00,18662857920
大Q小q绘本馆,https://www.dianping.com/shop/isoPwL5Btdi9Td2z,安定广场,周一至周日 09:30-20:00,18906275218
老约翰绘本馆(安定广场店),https://www.dianping.com/shop/H6nR7BX8jLVLqxpZ,安定广场安定街48号2楼,周一至周日 10:00-22:00,15312918337
宝藏童书馆,https://www.dianping.com/shop/k2G9sFfmYci0ykQv,吾悦广场金街二楼2-2050室,周一至周日 09:00-20:00,15312919885
七彩美术绘本馆,https://www.dianping.com/shop/H8wDHYR8f8OOQF7U,丝绸路919号美家家居大院内二楼,周一至周日 09:00-18:00,18795726825
