Library_Name,URL,Address,Business_Hour,Phone_Number
能量小象感统测评训练中心(市北校区),https://www.dianping.com/shop/laL4fCzVR2172ndY,青岛李沧区九水路227号宝龙城市广场三楼,"周六,周日 09:00-18:00  周三至周五 09:30-18:30  周二 13:00-18:30  2023-01-14至2023-01-27 休息",4000303096-21221
琴韵筝声艺术培训学校(桃源居校区),https://www.dianping.com/shop/G3lt4S6ifqBIE0k7,九水东路651-6号,周一至周日 08:00-20:00,18669792629
BBunion家庭中心(万象城店),https://www.dianping.com/shop/H9Ae5mcGP5mNgg19,山东路6号华润万象城1期3楼L301号,周一至周日 10:00-22:00,4000303096-64370
能量小象感统训练中心(崂山校区),https://www.dianping.com/shop/G7CYV7qkKEVq8zsI,山东路128号家乐福二楼能量小象,周一至周日 09:00-19:00  2023-01-14至2023-01-27 休息,4000303096-03845
指非月书店,https://www.dianping.com/shop/H820R9tEhgQAFnu6,烟台路215号海棠湾三期西门,周一至周日 全天,
能量小象感统训练中心(黄岛校区),https://www.dianping.com/shop/ipBwZySOyj2lREAv,山东路128号家乐福二楼能量小象,周二至周日 09:00-18:00  2023-01-14至2023-01-27 休息,4000303096-05491
多特儿童专注力,https://www.dianping.com/shop/k3FHZtgl4Iyidq84,香港中路69号麦凯乐(香港中路店)F3,周二至周日 09:00-20:00,4000303096-21212
青岛儿童阅读中心,https://www.dianping.com/shop/G6O1mpkqI8t1bHtB,辽阳东路12号商业广场6号楼3层,周二至周日 09:00-19:30  2023-01-19至2023-01-28 休息,15066181828
能量小象感统训练中心(李沧校区),https://www.dianping.com/shop/G4L25UNtu2PoG9NF,山东路128号家乐福二楼能量小象,周一至周日 09:30-18:30  2023-01-14至2023-01-27 休息,4000303096-21077
能量小象感统训练中心(城阳校区),https://www.dianping.com/shop/l4HqNdHn466izdCj,山东路128号家乐福二楼能量小象,周一至周日 09:00-18:30  2023-01-14至2023-01-27 休息,4000303096-48643
明读乐写高博士绘本阅读与写作成长空间,https://www.dianping.com/shop/k3ENYeqm1bsVKWTK,龙岩路一号甲,周一至周日 09:00-21:00,15966862825
沙溪文化艺术中心(动漫产业园分校),https://www.dianping.com/shop/H48iItNfYxsl6SR5,香港中路8号中铁C座旁1楼沙溪书屋,周二至周日 08:00-18:00  2023-01-20至2023-01-27 休息,4000303096-25526
叮当叮咚专业分级阅读童书馆,https://www.dianping.com/shop/k3mknButfrCiIDvv,东莞路万科蓝山1期6号楼底商甲,周一至周日 09:00-19:00,4000303096-34040
小荷美育,https://www.dianping.com/shop/l2pbOQcKEbfS0whK,香港中路100号中商大厦,周三至周日 09:00-17:30,4000303096-69567
优肯儿童感统训练中心(城阳校区),https://www.dianping.com/shop/j7O3BTV5NjxpY8qu,向阳路116号银座和谐广场F2层218-222,周二至周日 09:00-18:00  2023-01-11至2023-01-27 休息,15698116358
