Library_Name,URL,Address,Business_Hour,Phone_Number
Athena知慧学院(松江赫德中心),https://www.dianping.com/shop/l2gHTwYvle7y9eVC,延安西路200号2号楼3楼(文艺会堂内)（近乌鲁木齐北路）,"周六,周日 09:00-18:00  周三至周五 13:00-20:00",4000303096-12685
新东方素质成长中心(肇嘉浜校区),https://www.dianping.com/shop/EjcseKwtf2ueQZm1,浦东南路1111号新世纪办公中心18-19楼,周一至周日 09:30-18:00,4000303096-27648
昂立青少儿成长中心(五角场校区),https://www.dianping.com/shop/H66r00GmhXqVsS5e,平度路258号1幢116室,周一至周日 09:30-21:00,4008208062
Athena知慧学院(静安中心),https://www.dianping.com/shop/l3qMXY2fbc5cHETV,茸梅路600弄恒都广场4号楼101室,"周六,周日 09:00-18:00  周三至周五 13:00-20:00",4000303096-68362
吉的堡亲子|成长中心(斜土路校区),https://www.dianping.com/shop/G5wDGa3CAoj9jRyw,龙皓路1088号金山万达广场3楼3002号,"周六,周日 08:30-17:30  周一至周五 13:00-21:00",4000303096-22314
画外音少儿书画馆(凌云店),https://www.dianping.com/shop/H7jtS7w2OPCe4DcS,上中西路239-1号(凌云一街坊对面)(近龙州路),周一至周日 09:00-18:00,4000303096-24589
吉的堡成长中心(顾村校区),https://www.dianping.com/shop/H2ZdeXkc45xCTIdJ,龙皓路1088号金山万达广场3楼3002号,"周六,周日 08:30-18:30  周一至周五 13:00-21:00",4000303096-22665
想象力成长中心(沪南中心),https://www.dianping.com/shop/l4uSnLaPi7rwTjtt,博乐路70号C-115,周一至周日 10:00-22:00,4000303096-33787
Amber Preschool安铂学院(徐汇校区),https://www.dianping.com/shop/jrQn3jFqcc37Uexv,蒲汇塘路50号安垦3楼CD室（玉兰花苑旁，土山湾博物馆对面）,周一至周日 08:00-18:30,021-54591650
海伦青少儿成长中心(绿地缤纷广场店),https://www.dianping.com/shop/G6urjz69agu7oFId,长寿路155号巴黎春天3楼（近陕西北路）,周一至周日 10:00-21:00,4000303096-36565
伊莱素质成长中心(徐汇校区),https://www.dianping.com/shop/k9zIOjJmNTR3AYxV,愚园路753号嘉春园区C栋201室,"周六,周日 09:00-18:00  周一至周五 12:00-21:00",4001016029-5039
吉的堡成长中心(菊盛校区),https://www.dianping.com/shop/G5cluaanSK7O3suN,菊盛路811号(近菊盛路黄海路口),"周六,周日 08:30-18:30  周三至周五 13:00-21:00",4000303096-22316
吉的堡成长中心(金山万达校),https://www.dianping.com/shop/G1k71cxASI0A6iq2,淞虹路377号大融城L2层T3-01商铺,"周六,周日 08:30-18:30  周三至周五 13:00-21:00",4000303096-21853
乐不撕书绘本体验中心(华鹏馆),https://www.dianping.com/shop/Hal527Iisy3p6CTf,樱花路80弄富荟广场31临（浦建路樱花路路口）,周二至周日 09:00-18:30,4000303096-23252
新东方素质成长中心(创智天地中心),https://www.dianping.com/shop/l8eFQWWouQhoG8Gg,淞沪路290号创智天地广场10号楼B1(近10号线江湾体育场站12号出口),周一至周日 09:30-20:30,4000303096-02439
