Library_Name,URL,Address,Business_Hour,Phone_Number
三五锄微塾(绍兴银泰中心),https://www.dianping.com/shop/k4OKayhbk54MWFQx,解放南路777号金帝银泰城5幢305室,"周六,周日 09:00-21:00  周二至周五 10:00-21:00",4000303096-81651
壹蓓子绘本馆(兴虹文化创意园店),https://www.dianping.com/shop/H9LVP5fFwJun4TND,塔山街道人民中路兴虹文化创意园内,"周六,周日 09:00-21:00  周一至周五 13:00-21:00",13605751212
小耳朵绘本,https://www.dianping.com/shop/l7zTyzILRL25Z5so,塔山街道环城南路金时代广场3楼3067,周一至周日 09:30-15:00,15167511068
启绘绘本馆,https://www.dianping.com/shop/G29rrLoFKxgFQA32,金时代广场三楼3100室,"周六,周日 08:00-20:00  周一至周五 10:00-20:30",13867554403
兰可琪双语绘本馆(上虞万达店),https://www.dianping.com/shop/G9BC02uyEQ1MNYGj,康居路万达·水岸壹号沿河商铺,周三至周日 09:00-20:00,15021551775
啄木鸟(永利昌民百货店),https://www.dianping.com/shop/l7kCWfgBEgRQyuuz,世纪东街57号益泉百货F1层,"周一至周四,周日 09:30-21:30 周五,周六 09:30-22:00",
M EMO亲子绘本馆,https://www.dianping.com/shop/G5KZ5b8nuqv3itso,柯桥宝龙广场2楼,周一至周日 10:00-21:00,
彩虹田英文原版绘本馆,https://www.dianping.com/shop/G3CKbu93bGpnxoxn,文化艺术中心1楼,,
文聚星,https://www.dianping.com/shop/l4IDhsqDhopBGAR7,金城·文锦东苑新和成路342号,,13567513505
啄木鸟,https://www.dianping.com/shop/H46UAJbijIXQxLiD,鹿山广场,周一至周日 09:00-21:00,
易读宝,https://www.dianping.com/shop/H5vTqAIuPcuz6Wba,越秀路宝龙广场(袍江店)F2层,,
