Library_Name,URL,Address,Business_Hour,Phone_Number
新东方素质成长中心(长白校区),https://www.dianping.com/shop/GaLTk7dacHQX4qAK,长白南路381号7-12门,周一至周日 09:00-18:00  2023-01-21至2023-01-27 休息,4000303096-34038
新东方素质成长中心(北行校区),https://www.dianping.com/shop/l7fS3YJkxALNN3C2,嘉陵江街70号,周一至周日 09:00-18:00  2023-01-21至2023-01-27 休息,4000303096-62678
不点的小书库(星摩尔店),https://www.dianping.com/shop/k17VdL4YAznV0g1g,北二中路星摩尔购物广场二楼B岛209,周一至周日 10:00-20:00,17640259639
心语感统训练·语言迟缓·自闭症干预(铁西店),https://www.dianping.com/shop/k9pLZiXJ0wxDw400,观泉路280-5号,周一至周日 08:30-22:00  2023-01-20至2023-01-28 休息,4000303096-52658
不点的小书库,https://www.dianping.com/shop/iJUpk7wFFOba5tFD,中水街万科营销中心,周一至周日 09:00-18:00,13889317710
晨飞儿童成长中心,https://www.dianping.com/shop/k6zh32ZYH3qNfQU6,青年大街与文化路立交桥一方广场三楼,周一至周日 10:30-19:30,18742462515
小澳学堂英文分级阅读馆,https://www.dianping.com/shop/k6N79ZXm70DPENZ1,苍山路17-3号门,周二至周日 10:00-19:00,18640248681
毛毛虫童书馆(北三路店),https://www.dianping.com/shop/k1EQ7Rvb44RiULiK,北三东路24甲1号10门,周一至周日 10:00-22:00,18704030905
不点的小书库中英文亲子绘本馆(恒大名都店),https://www.dianping.com/shop/k18sOv5fQ7Jh9oDc,南京南街1001号恒大名都一期19号楼6门,周一至周日 09:00-19:00,18502411115
飞地绘本艺术馆,https://www.dianping.com/shop/G44c8LF6bLtgT6Ua,五三街道学城路18-94号2楼,"周六,周日 09:00-18:00  周二至周五 09:30-19:30",13129588527
优赋英文原版阅读馆,https://www.dianping.com/shop/H88wEC1sVvQ7EY9l,赤山路与滨江街交叉口西北440米,周三至周日 10:00-19:30,18602470838
糖与故事艺术绘本馆,https://www.dianping.com/shop/k9HfGeffjvX6vzdo,白山路206-6号1门2室,周一至周日 全天,13019328980
童年故事绘本馆,https://www.dianping.com/shop/kafYkjVxs2Ut2nxp,津桥街道小什字街149号3门,周一至周日 09:00-18:00,
梧桐书房,https://www.dianping.com/shop/k7xvkyNOJY0BRzZg,牡丹江街2号牡丹社区委员会南行50米,,
你好!春田里儿童绘本馆,https://www.dianping.com/shop/G2it250m6ngt1NBG,望花中街99-5号3-3-2室,周一至周六 10:00-16:30,15242013012
