Library_Name,URL,Address,Business_Hour,Phone_Number
Athena知慧学院(华侨城中心),https://www.dianping.com/shop/k3kHnIdFldtw1x20,望海路海上世界广场A区3号楼2层,"周六,周日 09:00-18:00  周三至周五 13:00-21:00",4000303096-64947
小马快跑Complex儿童成长学苑(深业上城全能中心),https://www.dianping.com/shop/G3TgroC8dWGDGTZE,布吉街道罗岗社区罗岗路信义荔山御园C区7栋L116,周一至周日 09:00-19:00,4000303096-09701
布鲁家原版英语绘本馆,https://www.dianping.com/shop/G5upbCnSV2w2MDlX,香蜜湖街道侨香路翠海花园C2-4E,周二至周日 10:00-18:00,
Athena知慧学院(海上世界中心),https://www.dianping.com/shop/l8xmbxmivkm9R09Y,侨城东路深南电路3楼302室,"周六,周日 09:00-18:00  周三至周五 13:00-21:00",4000303096-31927
博沃思·专注力·心理咨询·家庭教育(龙岗中心),https://www.dianping.com/shop/H2P9OtJeQKA1YeZy,深南东路书城金山大厦（大剧院地铁站F出口）,周一至周日 10:00-20:00,15907552646
中科院多特儿童专注力、感统、学习能力训练 中港城校...,https://www.dianping.com/shop/k8wHx84tUt5Mkr2j,福强路3004号中港城大厦601,周二至周日 09:00-20:00  2023-01-20至2023-01-27 休息 2023-01-28至2023-02-05 10:00-12:00 14:00-18:00,4000303096-84858
真爱幼幼全日制早教,https://www.dianping.com/shop/l4NwsrjgglSR11rU,新桥街道中心路110号天悦荟三楼,周一至周日 08:00-19:30,
习习智慧空间(海岸城店),https://www.dianping.com/shop/k3On4F2bC2nalhxH,新安二路138号中粮031创意园D栋205A,周一至周日 08:00-23:00,4000303096-64509
博沃思·专注力·心理咨询·家庭教育(南山中心),https://www.dianping.com/shop/G8XwYuC2HGNSVPXa,深南东路书城金山大厦（大剧院地铁站F出口）,周一至周日 10:00-20:00,15907552646
博沃思·专注力·心理咨询·家庭教育(后海中心),https://www.dianping.com/shop/kajdExljZSZq5DS9,深南东路书城金山大厦（大剧院地铁站F出口）,周一至周日 10:00-20:00,15907552646
书戏原著 | 书戏桌游(百花店),https://www.dianping.com/shop/H3qRCXxim8oPbsEY,福中一路1006号瑞思CC-times二楼217,周二至周日 09:00-19:00  2023-01-19至2023-01-27 休息,4000303096-63783
港龙舞蹈23店通用·成人少儿舞蹈培训(翠竹校区),https://www.dianping.com/shop/G3L1AMIkbjI9vk0S,留仙大道塘朗城广场m层01,"周六,周日 08:30-21:00  周一至周五 09:30-21:00  2023-01-09至2023-01-27 休息",4000303096-43427
舒贝麦（小主持）儿童语言艺术中心,https://www.dianping.com/shop/l6atMKJGBgc935mX,布吉街道南环路信义·金御半山D,周一至周日 10:00-21:00,4000303096-34140
博沃思·专注力·心理咨询·家庭教育(龙华中心),https://www.dianping.com/shop/l5V1mFT8WbzEcECD,深南东路书城金山大厦（大剧院地铁站F出口）,周一至周日 10:00-20:00,15907552646
书戏原著 | 书戏桌游(后海店),https://www.dianping.com/shop/G1EGAneWPRyM1cYi,百花二路百花新天地培训城三楼A303室,周三至周日 09:00-18:00  2023-01-19至2023-01-27 休息,4000303096-48698
