Library_Name,URL,Address,Business_Hour,Phone_Number
八角楼书店,https://www.dianping.com/shop/H8QzRuYdTE4iHooo,黄河南路166号,周一至周日 09:30-21:00,4001016029-1949
小读者学堂,https://www.dianping.com/shop/lafeoy3ghokcBqw4,微山湖路图书馆南门一楼,周一至周日 08:30-18:00,18012103533
弘书阁,https://www.dianping.com/shop/k9OPSNRggex0iATf,泗州中大街水岸城邦C5幢202（盛世传奇ktv南侧）,,
爱阅家(宝龙广场店),https://www.dianping.com/shop/l7PsM67pkLuI4df5,西湖路6号宝龙城市广场F3层,,
小涂书•中英文绘本阅读馆(世纪广场店),https://www.dianping.com/shop/G2RislEt9iZsKFbg,世纪广场南门20104室,,15261268502
童来童往绘本馆,https://www.dianping.com/shop/k1MsWRAEpYxUCEHT,锦华御园南门向西32-123铺,,
安禾绘本馆(宿迁国际购物公园店),https://www.dianping.com/shop/laYOGkO7EFeRTcLf,金沙江路87号,,19826285860
尼莫绘本馆,https://www.dianping.com/shop/k5mJXt8EjifpsoBW,杭州西路127号,,18852860668
优丫漫绘本美学生活馆(玲珑湾花园南区店),https://www.dianping.com/shop/l2WAruJO3lFIJSWm,运河路380号4-1-102,周一至周日 10:00-22:00,17849820811
史达林绘本馆,https://www.dianping.com/shop/k5N0fa1ujYjRbUjp,澜庭湾小区34-110史达林绘本馆,"周六,周日 09:00-18:00  周一至周五 13:00-20:30",18936937181
