Library_Name,URL,Address,Business_Hour,Phone_Number
老约翰绘本馆(泰州市区站),https://www.dianping.com/shop/l88M8RC1WpYOF3BE,海陵南路296号青少年活动中心一楼,"周一,周三至周日 09:00-18:00",4000303096-13330
壹蓓子绘本馆(柳园文商街区店),https://www.dianping.com/shop/G58ND1Gd17jC4mPL,文商街c4-2号,周二至周日 08:30-20:30,13775700609
老约翰绘本馆,https://www.dianping.com/shop/l7fjYNUXHblXBdNw,金富商业街7-202室,,18052685063
唐果绘本,https://www.dianping.com/shop/k4Wx8PnOby5biY4R,九龙镇水岸豪庭东大门北侧S110号,,13812484777
老约翰绘本馆泰州泰兴站,https://www.dianping.com/shop/k7OgJDAlutA6y1df,鼓楼东路文昌苑50号,周二至周日 09:00-18:30,18796766299
有声绘本馆,https://www.dianping.com/shop/k5l4uaT5XU3HvGEV,海陵南路凤城国际23-117号,周一至周日 09:00-12:00 14:00-18:00,
芒果绘本馆,https://www.dianping.com/shop/G9WKHoTfWMjghCHM,淮海西路283号（三水小学正对面）,周二至周日 09:00-19:00,17712576993
老约翰绘本馆,https://www.dianping.com/shop/l55jaUeTapI9kQ7Z,红星中路与中和西路交叉口东北120米,,
萌卡纳儿童绘本馆,https://www.dianping.com/shop/G7yzaPmd8FSeqokW,康宁路58,周一至周日 00:00-23:30,15961069209
老约翰绘本馆(东润路店),https://www.dianping.com/shop/l2mNO3EsRoqp4eEd,中兴大道169号10-09室二楼,,18944806679
壹贝子绘本馆,https://www.dianping.com/shop/jpQxtOTXpezIyc8l,帝景蓝湾三水大道336号,,
茁阅绘本馆,https://www.dianping.com/shop/H19Ze9KGwXsoO7dm,宏博锦园8号楼荷叶东路8号,周二至周日 09:00-19:00,18013469876
小书童,https://www.dianping.com/shop/H4E1V588BY94xMBl,兴宁社区中海能源加油站斜对面,,
啄木鸟,https://www.dianping.com/shop/l4jY6uUF2bBIYy4o,中兴路中丹苑南侧,,
