Library_Name,URL,Address,Business_Hour,Phone_Number
LarkABC拉克青少儿成长中心,https://www.dianping.com/shop/l4uNVOp2b3sLDQwa,华夏路乐天世纪城7号3层301,周一至周日 13:30-19:30,4000303096-13857
童晟绘本馆(NO.鲁K008店),https://www.dianping.com/shop/l9Ih1u1Wqw8ziYDc,寨子怡心苑小区大门往东50米,,
格格屋绘本馆(仙姑顶路店),https://www.dianping.com/shop/k8SdCEKwLtjYN8Cx,仙姑顶路望岛名郡底商,周二至周日 09:30-12:00 14:00-18:30,18766316928
乐学绘本馆,https://www.dianping.com/shop/G5jCdcsAda3B3Ju1,古寨南路和万宁街交叉口万和花园南区13-1-4室,周一至周日 10:00-20:00,13181880612
画家绘本馆,https://www.dianping.com/shop/H9RUrwxQTsQNvy28,斥山西路192-7号,,18606410167
创意烘焙英文绘本馆,https://www.dianping.com/shop/G7pPlwsmqcYfh4EG,大石路与黄海南路交叉口西120米,,15866304778
金色童年绘本馆,https://www.dianping.com/shop/k3VcwOEJGyNMLG2s,钦村路50-1-19号,,15553872716
小读者之家绘本馆,https://www.dianping.com/shop/G9idIFNgNkCrUn3M,齐鲁大道W37购物中心1栋3层,,
毛毛虫童书馆,https://www.dianping.com/shop/iQBLr2UQR7KbrSso,庙耩路与文化东路交叉口东南50米威海创客空间A109,周二至周日 08:00-17:00,18663115285
慧童绘本馆,https://www.dianping.com/shop/l8xNZslB0Z2eawrL,汇峰山海郡,,13061190886
安东尼绘本馆(通和路店),https://www.dianping.com/shop/HaBwenlU3pTBXwv5,通和路280-3号,,
