Library_Name,URL,Address,Business_Hour,Phone_Number
咕噜熊绘本美术教育,https://www.dianping.com/shop/l8NEvG6D4kLKD6X3,南湖中央广场二楼F2-009号商铺,周三至周日 10:30-20:30,
蕾茵特·蒙台梭利国际早教·托育中心(复地悦城校区),https://www.dianping.com/shop/l8Axxs0sFvidHsSi,武丰佳园底商校区,周一至周日 08:00-17:30,4000303096-13432
WINGS文思儿童成长中心,https://www.dianping.com/shop/l6Ek8OST0bmmZznZ,张家湾街道光霞路16号白沙天街B馆2F-21号,周二至周日 10:00-22:00  2023-01-17至2023-01-27 10:00-17:30,15107154221
梧桐树悦读时光儿童馆,https://www.dianping.com/shop/HaV5dINRUPhRGQiK,关山大道289号逸景华庭二期109栋2层1室309商铺（博奥教育城3楼）,周二至周日 09:00-21:00  2023-01-17至2023-01-27 休息,4000303096-17059
润童年素质成长中心,https://www.dianping.com/shop/k8GQjST4lSNKnm8L,祥龙大道天汇文化公园内天汇龙城三馆,周一至周日 10:00-22:00,4001016029-6434
小字迷练字(菱角湖万达店),https://www.dianping.com/shop/k2vGzSrG9WFc6bQo,汉阳大道726号海天欢乐购二楼5-16号,"周六,周日 08:30-18:30  周三至周五 14:00-20:30  2023-01-16至2023-01-30 休息 2023-01-31至2023-02-12 09:00-17:30",4000303096-58763
魔力熊儿童早教托育中心(硚口同馨店),https://www.dianping.com/shop/k43wXZUDlsqn1qpJ,京汉大道同馨花园二期28号楼南1门（中百超市东侧10米）,春季、夏季、秋季 周一至周日 08:00-18:30  冬季 周一至周日 08:30-19:00  2023-01-19至2023-01-29 休息,4000303096-22612
JWKidville 金威廉儿童早教• 托育中心(光谷校区),https://www.dianping.com/shop/H2PFtn8vvDrWfboX,高新二路5号关山坊B2-15-16-17-C2-20号,"周一,周二 09:00-18:30  周三至周日 08:30-19:30",027-87505337
小马瑞丁绘本馆,https://www.dianping.com/shop/k4fQr71i99fz3J1X,晴川大道复地海上海FUN橙式C1-2层106室BD,"周六,周日 09:00-18:00  周一至周五 09:00-20:00",4001016029-0930
海豚国际儿童之家(银泰创意城校区),https://www.dianping.com/shop/ka3rEO5ecSOkTQxG,沔阳大道65号新华书店1楼,周一至周日 09:30-21:30,4000303096-76957
乌龟国Family Reading Club(众圆馆),https://www.dianping.com/shop/k5VmYeCinAirSTZe,丰园路天丰花园3栋2单元底层,"周一,周二,周四,周五 09:00-20:30  周六,周日 09:00-19:00  2023-01-18至2023-01-29 休息",4000303096-11650
蕃茄田艺术(新唐万科广场店),https://www.dianping.com/shop/k9zkAsfk5sawQ5P2,常青一路218号新唐万科广场3层,周一至周日 10:00-22:00,4007000989-0369
海豚国际儿童之家(泛海城市广场校区),https://www.dianping.com/shop/l6Y0fkklqDDwVPI9,沔阳大道65号新华书店1楼,周一至周日 09:00-21:30,4000303096-12458
安妮花阅读馆(保利天悦馆),https://www.dianping.com/shop/H1e8a5FX5exI7GA1,宝通寺路百瑞景中央生活区商业街15幢2楼8号,周二至周日 09:30-20:30  2023-01-16至2023-01-28 休息,4000303096-35398
英百通英语绘本馆,https://www.dianping.com/shop/l9YTycCjrACdoXYw,大智路141,"周二至周五 14:00-20:30  周六,周日 09:00-19:00  2023-01-21至2023-01-28 休息",4000303096-76360
