Library_Name,URL,Address,Business_Hour,Phone_Number
乐融儿童之家早教托育(曲江校区),https://www.dianping.com/shop/l6inonOn8vHJKzQJ,曲江大道南段汉华城2层,周二至周日 08:30-18:30,4000303096-20818
童学汇心学力全脑阅读馆,https://www.dianping.com/shop/EEupfUa1wl3vLAiX,南新街就业服务局分中心（南新街东）,"周二至周五 14:30-21:00  周六,周日 08:00-19:00",4000303096-83293
长颈鹿成长中心(大兴新区旗舰校区),https://www.dianping.com/shop/k5FcWNaggMoR1Hqz,红庙坡街道大兴东路55号天朗蔚蓝春城1号楼3层,周一至周日 09:00-21:00,4000303096-68306
吉的堡成长中心(世茂都校区),https://www.dianping.com/shop/k43dPxDRBkb0OWA1,汉城街道凤城八路与民经一路口鼎正大都城19号楼,周一至周日 10:00-21:00  2023-01-19至2023-01-25 休息,4000303096-21874
长颈鹿成长中心(锦业旗舰店),https://www.dianping.com/shop/F5PfqUV0Rzf5jwsJ,太华北路369号大明宫万达广场5楼,"周六,周日 08:30-19:30  周一至周五 13:00-20:30",4000303096-04279
吉的堡成长中心(金悦校区),https://www.dianping.com/shop/l5J1bqmx3yxS3IBH,立信路万科金色悦城商业街30号楼1单元1层10105号（远东实验小学西边）,周一至周日 09:00-18:30  2023-01-21至2023-01-27 休息,4000303096-22358
辫豆HABA儿童馆(西安兰岛广场中心),https://www.dianping.com/shop/kaWeYSlzpsfjLuGD,白沙路与木塔寺东路十字香榭兰廷底商二层LD108C,周一至周日 10:00-20:00,18091596717
吉的堡成长中心(西安绿地校区),https://www.dianping.com/shop/ka2eBadot4M2NIrx,锦业路与丈八二路十字缤纷荟三楼08号,周一至周日 10:00-22:00  2023-01-21至2023-01-27 休息,4000303096-22406
A索·鲁比宝贝家早教托育中心(大旺城中心店),https://www.dianping.com/shop/l5ZSiOan8AjLNCEN,北辰东路518号林邑小区东门向北20米,周一至周日 09:30-20:00,4000303096-81947
悠可星辰早教,https://www.dianping.com/shop/kaizwlMRJvuQ3EVA,大寨路4号晶鑫华庭三层,周二至周日 09:00-18:00,4000303096-79524
吉的堡成长中心(维肯校区),https://www.dianping.com/shop/G3qmP5xpCnhTCuUj,沈家桥三路金地西沣公元二期西门,周一至周日 10:00-20:30  2023-01-21至2023-01-27 休息,4000303096-21741
西雅图卓越国际早教,https://www.dianping.com/shop/jcvQXgrau8VVTJ6m,长安中路111号嘉汇汉唐书城二楼,周一至周日 09:00-18:00,029-83692511
欧绅兔儿童书店,https://www.dianping.com/shop/k1VGF0TjvXtGaI6N,凤城九路与明光路交叉口北行70米路西,周一至周日 09:00-21:30,029-86402769
英硕葡萄籽成长中心,https://www.dianping.com/shop/H9hM1k52rO8iDfy9,未央路136-1号艾斯广场3楼B303号,"周六,周日 11:00-18:30  周二至周五 14:00-20:30  2023-01-28至2023-01-29 10:00-17:30",4000303096-46383
西安启发儿童成长中心,https://www.dianping.com/shop/G7NFlwv4h24qDZQO,未央路雅荷花园中环大厦B座6F,周一至周日 09:00-21:30,18966930839
