Library_Name,URL,Address,Business_Hour,Phone_Number
优享绘本(祥店校区),https://www.dianping.com/shop/l3DiTJIvCBJGjMyP,仙岳路第二城快乐天地C栋进出门右侧二楼（停车场对面肯德基旁）,周一至周日 09:00-21:00,4000303096-65257
鲸喜亲子俱乐部(罗宾森中心),https://www.dianping.com/shop/H5rKyW50jrfYO12w,梧村街道厦禾路899号罗宾森广场F2层,周一至周日 10:00-22:00,4000303096-14553
小小世界双语阅读中心,https://www.dianping.com/shop/G5DFMSIHSVke6cGH,金榜路100-10号,周一至周日 10:00-22:00,18150108047
魔奇家庭成长中心(南湖校区),https://www.dianping.com/shop/k6GkhdXISnGELVE2,厦门市思明区厦禾路1032号中外运大厦A幢4-5楼,周二至周日 09:00-12:00 13:00-20:30  2023-01-28至2023-01-31 13:00-21:00,4000303096-15510
斯玛特儿童美术中心(宝龙校区),https://www.dianping.com/shop/l9cDJcl85ec26P51,环岛东路1803号会展北天虹3楼313号,周一至周日 08:30-22:00,4000303096-78269
Pick-a-Book儿童国际阅读图书馆,https://www.dianping.com/shop/G9baRSgZvVqXV17K,厦禾路禹洲世贸商城A区3楼318,周二至周日 10:00-12:00 16:00-18:00 19:00-21:00,4000303096-87106
安妮花阅读馆(龙山馆),https://www.dianping.com/shop/H53yUbHPJMFFZETt,斗西路祥和广场3楼,周一至周日 10:00-22:00  2023-01-31 休息,15160039556
海伦·奥格雷迪英文戏剧学院(闽南大戏院校区),https://www.dianping.com/shop/Evr0RFcenzKQHoAb,嘉禾路130号,周三至周日 10:00-21:00,4000303096-40953
乐之森艺术中心(滨北校区),https://www.dianping.com/shop/H8gDsaUPPeggbZlB,厦门思明区湖滨北路97-105号,周二至周日 10:00-22:00,17750005875
南色创想美术院(中山公园校区),https://www.dianping.com/shop/k55EYaD3c2ACgzp6,公园南路27-29号（中山公园南门对面清真寺旁),"周六,周日 08:30-20:30  周三至周五 14:00-21:30",4000303096-25608
斯玛特儿童美术中心(会展北天虹校区),https://www.dianping.com/shop/G55UYeqJBDGwM95B,莲前街道吕岭路宝龙一城SOHO东塔一层007室,周一至周日 08:30-22:00,4000303096-08912
老约翰绘本馆(厦门1站),https://www.dianping.com/shop/H5ReNYRZ67Sf7ruy,厦禾路189号银行中心2楼,周二至周日 09:00-20:00,18959208788
安妮花阅读馆(斗西馆),https://www.dianping.com/shop/j5KsbYGNRINQ8s7f,石鼓路148号之二二楼,周一至周日 10:00-22:00  2023-01-31 休息,4000303096-08289
魔奇家庭成长中心(祥店校区),https://www.dianping.com/shop/l5OoMwFEXwewIgP1,厦门市思明区厦禾路1032号中外运大厦A幢4-5楼,"周六,周日 09:00-18:00  周二至周五 13:00-20:30  2023-01-28至2023-01-31 13:00-21:00",4000303096-85924
海伦·奥格雷迪英文戏剧(莲花校区),https://www.dianping.com/shop/HaNjnLOXyRgymZ0e,会展中心北片区展鸿路87号闽南大戏院4楼,周一至周日 10:00-22:00,0592-5078199
