Library_Name,URL,Address,Business_Hour,Phone_Number
兰可琪绘本美学生活馆,https://www.dianping.com/shop/k51115CDwQb6DIeb,王寨街道长虹北路5号万达广场13幢1-2层107室,"春季、夏季、秋季 周六,周日 09:00-19:00  周二至周五 10:00-19:00  冬季 周二至周五 10:00-18:00  周六,周日 09:00-19:00",4000303096-02993
有书阅读馆(人民广场校区),https://www.dianping.com/shop/l5dSDfxrcZzTJnX0,人民广场炮铺街3号,周二至周日 08:30-19:30,19323678781
安妮花阅读馆(泛悦馆),https://www.dianping.com/shop/l5QFOKizKnFiT2R6,长虹北路诸葛亮广场全民运动中心场馆内一楼门面,周一至周日 10:00-20:30,18186257502
安妮花阅读馆(长虹馆),https://www.dianping.com/shop/k23dZ1U8enhIQu4s,长虹路泛悦MALL2楼L2-018-019（正门口进门手扶梯直达）,周二至周日 09:30-20:00,13042810050
卡其色少儿绘本馆,https://www.dianping.com/shop/k8lEOkKmeA95TgHR,万达广场住宅区5-106,周二至周日 09:30-21:00,0710-3510147
智绘小童童书馆,https://www.dianping.com/shop/k8viPh5aWlM8qmP4,小南街剧院路口(可可蛋糕店)右侧20米,周二至周日 08:30-20:30,15872276333
盒子博士绘本馆,https://www.dianping.com/shop/ErDJdnX6Wf1gTV1M,泛悦广场2层F2-037室,周一至周日 10:00-22:00,15872269957
红星书店.童心阅读馆,https://www.dianping.com/shop/H6EomDcSY9JdDGl1,樊魏路红星国际C10栋,,13995745199
智达绘本馆,https://www.dianping.com/shop/G8MH965Ht8rNtk3f,长虹路25号樊城区政府旁工行家属院内,周一至周日 10:00-22:00,0710-3756761
啄木鸟,https://www.dianping.com/shop/k6dEBKG11id1TT91,223省道西50米,,
啄木鸟,https://www.dianping.com/shop/FraZBfZpukMd3tIP,堰河路152-2号,周一至周日 09:00-21:00,
莫奈印象绘本馆,https://www.dianping.com/shop/k9a8OjfCAsXBVHxP,航空路中铁十一局旁2层,周一至周日 08:00-20:30,18827510929
