Library_Name,URL,Address,Business_Hour,Phone_Number
玛利娅蒙特梭利早教·托育(万达广场校区),https://www.dianping.com/shop/kaw0uYGh5k11lir8,惠民路99号万达公寓25号202,周一至周日 08:00-18:00,4000303096-30373
泰言艺术文教城,https://www.dianping.com/shop/G6UQweRbmcCkkqZR,盐枕路创元金域花苑21幢3楼,周一至周日 08:30-20:30,15950232428
未来梵思绘本(凤凰汇商业街区店),https://www.dianping.com/shop/iPumteYQAYrKUCTJ,解放南路凤凰汇商业街区20-133-2室,,13915403203
亲子阅读餐厅,https://www.dianping.com/shop/l7iKNnIvRz2aUOyY,人民南路12号,,0515-88639777
悠贝亲子绘本馆,https://www.dianping.com/shop/k5Nz4S2dGv0R0Dbs,水岸尚街2号别墅区·缤纷亚洲南边小河对面别墅区,周一至周日 08:30-20:00,
约读书房,https://www.dianping.com/shop/k63Hmvwn4mReD19K,世纪大道611号凤凰金宝广场4号楼3楼,,15961931909
老约翰绘本馆(盐城滨海站),https://www.dianping.com/shop/G5l2eNPBIp6iCxhz,向阳大道563号,周一至周日 09:00-20:30,15261918525
大眼睛绘本馆,https://www.dianping.com/shop/l8NThwa8uQkKmQfQ,通洋路洋东新苑,,
米悦绘本美术馆,https://www.dianping.com/shop/H9GLQ2y7WpHuLhSt,幸福路清华园,,
格桑花绘本馆,https://www.dianping.com/shop/G7CPpdq0Jp9eWNUh,黄海路16号美庐城12幢103室,,
乐读书屋绘本馆,https://www.dianping.com/shop/l8CdPvoISgLcI7Kt,近湖街道湖中南路476号,周一至周日 10:00-18:00,13160448658
弘乐老约翰绘本馆(天钻校区),https://www.dianping.com/shop/ExxFjgopLTLt6RxY,天钻18号楼3楼弘乐老约翰绘本馆,,15195120166
东台神奇世界亲子阅读绘本馆,https://www.dianping.com/shop/H7pBp4QOYWEnL3gM,陆家滩路57号,周一至周日 08:00-19:00,15189399639
童学童书苑,https://www.dianping.com/shop/G4AY0knM7YagJ9BS,商业步行街79号,,13365182812
老约翰绘本馆(新建中路店),https://www.dianping.com/shop/G3cwHTEQ5oncwy9d,阜东中路187号,,15261918525
