Library_Name,URL,Address,Business_Hour,Phone_Number
恩家绘本馆,https://www.dianping.com/shop/G92LJDRussSLx39E,友谊街36号,,18865502320
bigmonkey's绘本创作馆(宝龙广场店),https://www.dianping.com/shop/l5PIBrSZa9VKbL6o,宝龙广场1-210室,周一至周日 09:00-19:00,
爱阅家,https://www.dianping.com/shop/k35HO31luHqN6h2r,观海路228号烟台万象汇F4层,周一至周日 10:00-22:00,
咿丫绘本美学馆,https://www.dianping.com/shop/k8NW1t2BK542SgJU,太华路富丽花园,,13105266857
蓝鲸绘本馆,https://www.dianping.com/shop/i7nwBeJO6saowvin,青华街附98-1号,周一至周日 08:30-19:30,13963843613
烟台天地围棋道场,https://www.dianping.com/shop/l7XKPaFyUAuD0ZQo,长江路57号福星大厦2层,周一至周日 08:30-19:30,0535-6391031
Timebook英文绘本馆,https://www.dianping.com/shop/l5U7gOJuXZbdJFqy,环山路114-3号,,18663889139
艾贝莱绘本馆,https://www.dianping.com/shop/k8CHwHQgA6W65NNF,朱家疃东门100-付7号,,18766502232
萌卡纳儿童绘本益智馆(烟台福山店),https://www.dianping.com/shop/k21zwpceDdn1fYoO,北三路梨花村小区东门门市1-33室,,15715352428
童年书苑,https://www.dianping.com/shop/H6UmSzU1P2vQCjCG,庐山路1888号,,
爱爱读读米菲书苑(烟台7号馆),https://www.dianping.com/shop/k9RBYyUCnKD2nWaj,福盈路99号付3号,周一至周日 09:00-21:00,18561067456
爱心树绘本馆,https://www.dianping.com/shop/l7IhRptMBkmwKbYx,飞龙河东新城11号楼,,18615004311
爱读书苑儿童绘本中心,https://www.dianping.com/shop/H4CIW6NUodOoXmcB,西山路奥林峰情,,
北京幸福树大阅读,https://www.dianping.com/shop/H1PNRpYKS8RI9ETE,祥祯路与福新路交叉口西120米,,
国王的礼物亲子绘本阅读体验馆,https://www.dianping.com/shop/GaF8nm4sneEbHHyc,黄海路35号正北方向10米,,15653548908
