Library_Name,URL,Address,Business_Hour,Phone_Number
海豚国际儿童之家(兴发广场校区),https://www.dianping.com/shop/it5ZX7gP962NS4Vh,伍家岗区中南路35号兴发广场2楼,周一至周日 10:00-20:00,4000303096-49405
希希蜜绘本馆,https://www.dianping.com/shop/H7rBMx8iIldSkHhQ,塔东湖社区东湖大道31号雅斯超市6层,周一至周日 09:00-21:30,18695061150
兰可琪绘本馆,https://www.dianping.com/shop/G3SkRNvUtT2qz4zD,中南路33-2号（南宇书店二楼）,"周六,周日 08:30-20:00  周二至周五 10:00-12:00 14:00-20:00",15629332600
书香童年绘本馆,https://www.dianping.com/shop/G28POK20HUecKU6A,商业三街双桥社区广场(中心广场)26号,周一至周六 08:30-11:30 14:00-19:00,18771871311
皮克布克绘本馆福久源店(国贸·新天地店),https://www.dianping.com/shop/G7zX7mKnuoPtge4i,桔城路24号国贸新天地F3层,周一至周日 10:00-22:00,18518736461
老约翰绘本馆(万达店),https://www.dianping.com/shop/kaoDrRjDTjsCf2Xk,万达金街二楼192-2-44号(粥堂里),周一至周日 10:00-20:30,13997737984
瑞丁绘本馆(金缔华城店),https://www.dianping.com/shop/G2lcjYhM6Te9vPzT,夷陵大道与西陵二路交叉口北120米,"周二至周五 14:00-20:00  周六,周日 09:30-12:00 14:00-18:00",13972042005
壹蓓子绘本馆(璟里中心店),https://www.dianping.com/shop/G46L67YGys9W0AQF,城东大道22号璟里中心F3层,周一至周日 10:00-22:00,15629356688
快乐童年绘本馆(平云三路店),https://www.dianping.com/shop/k9baIIiVNqzlfzM0,平云三路机关幼儿园正对面,,
啄木鸟(沿河西路店),https://www.dianping.com/shop/G7ZmeFnqz1AIZL6a,五峰镇沿河西路5号,周一至周日 09:00-21:00,13197331899
小布丁绘本馆,https://www.dianping.com/shop/kaHoTHJ4xFeD7sh3,西陵一路51号,"周一至周五 14:00-20:00  周六,周日 09:30-18:30",
神奇世界绘本馆(秭归店),https://www.dianping.com/shop/l7u5NtKxcbToi7UM,建平路6-n号,,18986766812
爱阅绘本馆,https://www.dianping.com/shop/G9l8nX2ilar86qeF,东艳路与白城路交叉口南约140米,,
西柚书房(长江瑞景店),https://www.dianping.com/shop/l5llJCQzJpqmVl97,沿江大道120号,,13469863383
瑞丁亲子绘本馆,https://www.dianping.com/shop/k5xynexyY0RXatsY,城东大道19号缤纷银座F4层,周一至周日 10:00-20:00,0717-6240789
