Library_Name,URL,Address,Business_Hour,Phone_Number
大书小书绘本馆(华都汇店),https://www.dianping.com/shop/G64UHxCppAdYcEWU,湛江经济技术开发区绿华路48号华都汇商场负二楼卜蜂莲花超市入口处,周一至周日 08:00-22:30,19126635620
小柠檬双语绘本馆,https://www.dianping.com/shop/k5nNa6TmDFnKurSQ,西粤京基城二期夏辉苑5幢地下一层05号商铺,周一至周日 10:00-22:00,13318022940
CC教育绘本馆,https://www.dianping.com/shop/G3eSfGAN9cHOFQ0x,同济南路六横巷红日幼儿园（同济南路)东北侧约120米,,13420188360
时光机绘本馆,https://www.dianping.com/shop/G1cvnimPQFFBeAGt,龙海路与龙汐路交叉口西北240米,,
波西的绘本馆,https://www.dianping.com/shop/H6FSSaSHtXpEXAdG,遂海路与建设路交叉口西北160米,周二至周日 10:00-12:00 16:00-20:30,17806582661
老约翰绘本馆(吴川站),https://www.dianping.com/shop/H7LeQXlZeG3UaK3A,海港大道海滨新区二巷3号,周二至周日 09:30-12:30 15:00-21:00,13822546276
智趣绘本馆(海岸·万和城店),https://www.dianping.com/shop/l2aPnzcqrT38O7wk,创业路与海港大道交叉口东北220米,周二至周日 09:30-21:00,13246504926
米诺娃童书馆,https://www.dianping.com/shop/FU3594XbveSqzSt9,跃进路36号爱华广场F5层,周二至周六 09:00-12:00 14:30-18:00 19:00-21:00  周日 09:00-12:00 14:30-18:00,18934042123
啄木鸟,https://www.dianping.com/shop/GatWzYWcdtXIAzsV,人民大道与557乡道交叉口东150米,,
啄木鸟,https://www.dianping.com/shop/DFiccmVwIEA7WvM5,开发区观海路183号荣基国际广场三层001号商铺,,13828205559
