Library_Name,URL,Address,Business_Hour,Phone_Number
萌树绘本馆,https://www.dianping.com/shop/EKjhaF7jYkHncgL1,陇海路与通泰路交叉口中实润城2期东侧停车场内,周二至周日 10:00-20:30,4000303096-45975
琪乐阅读·亲子图书馆(御玺大厦店),https://www.dianping.com/shop/laabZGtf4Wed2PtV,东明路御玺大厦A座5楼(近E、F、G电梯),周二至周日 10:00-19:30,4000303096-84562
DEMOO ART 岱墨美学,https://www.dianping.com/shop/lahccAbApXeutn17,农科路万达中心1106,周一至周日 10:00-20:00,4001016029-1831
芭莎皇家芭蕾(高新店),https://www.dianping.com/shop/k6eagi8PHou649sD,黄河路与经二路交叉口璞丽中心B座商业三层（影院隔壁）,"周三至周五 09:00-19:00  周六,周日 08:30-19:00",4000303096-49159
悦如水亲子阅读运动中心,https://www.dianping.com/shop/H4MIkG0soBwLnUSG,华山路国家电网四楼,周二至周日 09:00-20:00,4000303096-20256
芝麻街成长中心·火花思维·双语绘本馆(蓝堡湾中心店),https://www.dianping.com/shop/FHU5cgNbAkGjwNr8,文化路街道东风路与花园路交汇处正弘蓝堡湾贵人街6栋301号,周二至周日 09:00-20:00,17329333606
纸中书话(中原店),https://www.dianping.com/shop/lacvy0eTcYKyTDrG,宏达街与丰庆路交叉口东180米,周一至周日 09:00-20:00,4000303096-28699
潞贝绘本馆,https://www.dianping.com/shop/l5u2vkttmi7zbtaP,勤工街1-23号,"周六,周日 09:00-18:00  周一至周四 10:00-20:00",4000303096-30093
十里书店,https://www.dianping.com/shop/l5IP8GdZEJRrs2uS,大学路政通路交叉口升龙活力二街3楼,周五至周日 09:30-21:30  周一至周四 09:30-21:00,0371-63312352
傲欧英文绘本馆,https://www.dianping.com/shop/l5QfNH9RU3DmpGl3,康平路郑东商业中心B区8栋402室,周一至周日 10:00-22:00,
乐创童程幼少儿编程俱乐部,https://www.dianping.com/shop/G9DkEoNaAQCK7dfc,大学路政通路升龙国际C区1号楼三层,周一至周日 10:00-22:00,
悠贝亲子图书馆,https://www.dianping.com/shop/l66GaNaPLuEYNFP8,南三环卓跃儿童运动馆三楼,"周一,周二 10:00-12:00 15:30-18:00",15136275830
萌芽帝子绘本馆,https://www.dianping.com/shop/k5QL8O7Gqtc58buF,中凯龙城南门西100米,,
元子青童书借阅馆,https://www.dianping.com/shop/H7vPgbx9TV9yZDoS,正弘城西门贵人街8幢301-302（正弘国际小学南邻),周一至周日 10:00-22:00,0371-65059905
浅山书苑,https://www.dianping.com/shop/H75qYuW959bGLHsO,华山路与岗坡路交叉口芝麻街公园里D63F,周一至周日 10:00-22:00,18537149311
