Library_Name,URL,Address,Business_Hour,Phone_Number
求索书苑-艺舍创作(益华百货店),https://www.dianping.com/shop/latpThC6Yo2LW4EB,中山三路8号之1益华百货乐家超级商场3-4层,周一至周日 10:00-21:00,0760-88888957
辰光聚荟艺术·少儿舞蹈·美术,https://www.dianping.com/shop/G6rd4BIlCTDQgWRG,悦来南路34号滨河湾花园63-64幢2层12、14、16卡,周二至周日 09:00-21:00,4000303096-43871
践读书院儿童阅读文化中心,https://www.dianping.com/shop/k9QSUtooVkM0LUFs,桃苑路东璟廷1幢6/8号,周一至周日 09:00-20:30,18825390648
中山书房 良都悦读,https://www.dianping.com/shop/G522KWD5Bus6MMs5,日华路36号,周一至周日 08:00-24:00,
木牛牛马读木舟绘本馆(时代芳华里店),https://www.dianping.com/shop/l8rLoZTfdK7hitu0,沙溪大道6号时代芳华里F3层,周日 09:00-18:00  周六 09:00-21:00  周二至周五 14:30-21:00,18022128551
读木舟绘本馆,https://www.dianping.com/shop/G3Qp1QXlaq7Gn5PH,大信中路2号,"周六,周日 09:30-21:00  周二至周五 14:30-21:00",18676184957
小天使亲子绘本馆(鸭子湖路店),https://www.dianping.com/shop/kaOvwS9bzCQz6MB9,丽景城市广场加州地带48号,,
啄木鸟(天悦城店),https://www.dianping.com/shop/H8LIzK81lIF90DRa,富华道32号天悦城F2层,周一至周日 09:00-21:00,
啄木鸟,https://www.dianping.com/shop/G3xe0w9hulBFQuoy,坦神北路118号,,
萌卡纳儿童绘本益智馆(御京明珠店),https://www.dianping.com/shop/k69WDDVSD8aWPEUs,东升坦背西二马路同茂工业大道东3号京珠花园1037卡,,13392582826
啄木鸟(大信新都汇店),https://www.dianping.com/shop/k6OtjJ2ZIFuZtJwy,新兴大道东古镇大信新都汇1层,,18177223351
响叮当儿童阅读书房,https://www.dianping.com/shop/k48n6m23BoPA09XC,淘金街凯茵新城-雅湖居,,
啄木鸟(新华西路店),https://www.dianping.com/shop/ivzkkEq3vNWypIa6,小榄镇新华西路12号,周一至周日 09:00-21:00,0760-22272742
啄木鸟,https://www.dianping.com/shop/G8KwKBNl7vpSTZAv,板芙北路瑞福珠宝金行旁,周一至周日 09:00-21:00,18923320832
萌卡纳儿童绘本创作馆,https://www.dianping.com/shop/G7ITkpHovSqFqOHk,丽城三路乐意居5期88号88卡,,
