Library_Name,URL,Address,Business_Hour,Phone_Number
墨洋书虫馆(印象城馆),https://www.dianping.com/shop/F6pYcVVKdVNt94sh,金凤路印象城4楼403扶手电梯旁,周三至周日 10:00-20:00,0756-8698690
丫丫与伙伴全阅读成长中心,https://www.dianping.com/shop/G2h3043j3C6UPduz,柠溪路296号(北区),"周五至周日 09:00-18:00  周二 09:00-21:00  周三,周四 14:00-21:00",4000303096-37341
爱阅家亲子早教绘本,https://www.dianping.com/shop/G4LYF4aVjyWXcj9M,银桦路102号优特汇购物中心F3层,"周一至周四,周日 10:00-22:00  周五,周六 10:00-22:30",13323926333
阅界,https://www.dianping.com/shop/H3dCW2HUbVBMVkpT,梅华街道翠前北路一街197号,,
童心绘绘本馆,https://www.dianping.com/shop/EEFwMCh7BgZiN1Sl,中兴南路97号,,13192220328
开云绘本,https://www.dianping.com/shop/l64GNs92X6bd1UAd,南福路云顶澜山139号,,
学无界少年读书会,https://www.dianping.com/shop/G6NybjKATjr1bLZG,兴业路52号9号铺,,0756-2605689
丫丫与伙伴(吉大馆),https://www.dianping.com/shop/H48lCcpaMGF2NQq6,海滨南路50号金碧时代广场2楼,周三至周日 09:00-18:00  周二 09:00-21:00,0756-3360889
阅读树英文绘本馆,https://www.dianping.com/shop/EqStQ785Mt2vq96W,商业中街888号,,0756-2685158
Lubibi中英文绘本馆,https://www.dianping.com/shop/H24CdpTSip2olzlB,华策南湾国际商业街2楼241号,,13709682181
魔书堡,https://www.dianping.com/shop/l9SqqX7ESf5hrYym,书香路63号（香山学校对面),,0756-8665356
