Library_Name,URL,Address,Business_Hour,Phone_Number
时光工作室,https://www.dianping.com/shop/iIFyKwy9eGUQbtFn,文津路与西三路交叉路口向西南约150米,,15609626576
老约翰绘本馆(壕埂街店),https://www.dianping.com/shop/EsBovbrmyg1vwAzC,工农街68号-116号,周二至周日 09:30-20:00,13866049075
喜山美阅绘本馆(吾悦华府店),https://www.dianping.com/shop/H7UvmjQzGBUYztnN,吾悦华府S3栋1080正南方向60米,周一至周日 10:00-22:00,13225562850
童声童色中英文亲子绘本馆(华茂店),https://www.dianping.com/shop/G27b4iGNXv38tXhw,华茂C8栋二层207-210室,周二至周日 10:30-21:00,18905561200
维多利亚全英文绘本馆,https://www.dianping.com/shop/H5KwHtJ6DypQm0fW,蓝鼎商业街西区148号,,13917865342
十月绘本馆(菱建小区店),https://www.dianping.com/shop/H1wgdkiXPFhwTpzc,回祥路130号（东方虹城小区大门口）,周一至周日 09:30-20:00,18726151009
墨念文创,https://www.dianping.com/shop/l7TRfgIGlx5ciTpY,人民路70号,,
国王的礼物(汇峰店),https://www.dianping.com/shop/l1W07Cl06lQ1OyTl,汇峰广场二楼,,
喜阅绘本馆,https://www.dianping.com/shop/G8ZSkMu9B7e8uQqw,皖江大道迎江世纪城绿地启航社3幢1室2-3层,周一至周日 10:00-22:00,13170061015
优丫漫绘本美学馆(安庆新城吾悦广场店),https://www.dianping.com/shop/H39YMzNFBzVEA23g,吾悦广场金街三楼3082（宜城渡步行街),周一至周日 10:00-22:00,0556-5268540
优丫漫绘本艺术生活馆,https://www.dianping.com/shop/la3VbR9rdFuZrsqg,后围墙与东围墙街交叉口西140米,,18956990189
冉欣儿童阅读中心,https://www.dianping.com/shop/l2P1KATt5S7t04WE,皖西南大道115号,,
绘本艺术儿童成长馆,https://www.dianping.com/shop/kaJ1ddiMdCFFYQT5,联合街037号,,13855611597
啄木鸟(文城东路店),https://www.dianping.com/shop/l6cl1i9veE1CZTHo,西后街与龙眠西路交叉口西南50米,周一至周日 09:00-21:00,13966987786
