Library_Name,URL,Address,Business_Hour,Phone_Number
嘟嘟童书馆·亲子绘本馆(高新智地哥谭馆),https://www.dianping.com/shop/G34boZTx3bYR9spS,益州大道中段888号智地哥谭写字楼1栋1012室(汇锦广场),周一至周日 10:00-20:00,4000303096-31912
博沃思·专注力·心理咨询·家庭教育(西南中心),https://www.dianping.com/shop/l6exfZN4uGSTgU4k,大悦城路518号,周一至周日 全天,15907552646
博沃思·专注力·心理咨询·家庭教育(世豪中心),https://www.dianping.com/shop/Fv2negXyUB9ZdU1W,东大街段350号西南书城内,周一至周日 10:00-20:00,15907552646
博沃思·专注力·心理咨询·家庭教育(光华中心),https://www.dianping.com/shop/G1SHZGVBeJhyz8rg,东大街段350号西南书城内,周一至周日 10:00-20:00,15907552646
蒙田森国际早教•托育(中和店),https://www.dianping.com/shop/k1NJyDCFGH1ORkKL,清波路141号（汇力金沙2楼，近远洋椿萱茂）,周一至周日 08:30-18:30,4000303096-95568
澳洲绘本阅读课程,https://www.dianping.com/shop/H3rgc1FBAc7Cvk7y,琼楼路138号3楼,,
悠贝亲子图书馆(夏加儿馆),https://www.dianping.com/shop/G4DIZz4tuSbnCZNg,益州大道1999号银泰城3层,周二至周日 10:00-19:30,
阅学教育(翡翠公园万科里店),https://www.dianping.com/shop/l7FljIiOCLqaKnnc,沈阳路西段33号翡翠公园万科里5栋2层201号,"周六,周日 09:00-18:00  周三至周五 14:00-20:30",4000303096-31971
抱抱熊国际托育中心(新都店),https://www.dianping.com/shop/G1Gqma0NN9d6Wn9z,洪山路36号附206号（仙湖公馆）,周一至周日 10:00-22:00,4000303096-08250
安康贝贝国际婴幼儿早教托育中心,https://www.dianping.com/shop/GatE9fJk4jpjR1Dz,政通东路437号附1号二楼,周一至周日 08:00-18:00,4001016029-6131
mini相长有方阅读馆,https://www.dianping.com/shop/Ek1ulOXE0bnzl9Gd,双福一路58号附126号,周二至周日 10:00-20:00,4000303096-52303
麓豆豆儿童馆(麓坊中心店),https://www.dianping.com/shop/GaqCBxYAT4RTKRpX,麓湖生态城嘉州路168号麓坊中心1栋1单元7楼701-702室,周二至周日 09:30-19:30,4000303096-23274
博沃思·专注力·心理咨询·家庭教育(武侯华达商城中...,https://www.dianping.com/shop/jnVATDciiQbscrha,东大街段350号西南书城内,周一至周日 10:00-20:00,15907552646
kids winshare plus文轩亲子书店(仁和新城店),https://www.dianping.com/shop/l6O6sL3lVd5qrjdl,石羊街道府城大道西段505号仁和新城4楼,周一至周日 10:30-22:00,028-81259409
文轩BOOKS(招商店),https://www.dianping.com/shop/k5Js6TdXL5ANLFTo,府城大道中段88号九方购物中心三楼,周一至周日 10:00-22:00,028-86007273
